filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-1.1061889,-0.5796281,-1.0786673,-0.9214948,-0.5796281,-1.0786673,0.20780438,-0.9094152190025979,0.5778661
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-1.2859966,-0.84582317,-1.7979655,-1.3099284,-0.84582317,-1.2859966,-0.13786715,-1.2677268246244149,0.11898464
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-1.5393665,-1.0097312,-1.6829377,-1.4106784,-1.0097312,-1.5393665,-0.26832253,-1.385530482032922,-0.035731733
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-1.4994013,-0.92579484,-1.7285795,-1.3845919,-0.92579484,-1.4994013,-0.22687984,-1.351118287396804,0.011100888
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-1.4579046,-0.8764831,-1.76408,-1.366156,-0.8764831,-1.4579046,-0.19807053,-1.3269858785562916,0.043994665
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-1.3597676,-0.9343128,-1.7667999,-1.3536267,-0.9343128,-1.3597676,-0.19789606,-1.320371650858019,0.04835379
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-1.0703771,-0.6185453,-1.8504738,-1.1797987,-0.6185453,-1.0703771,0.038036823,-1.1142091638477227,0.33007646
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.82455444,-0.31654957,-1.7475799,-0.9628946,-0.31654957,-0.82455444,0.29362747,-0.8878399299683849,0.6521692
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.93380666,-0.06005481,-1.7426313,-0.9121642,-0.06005481,-0.93380666,0.41199484,-0.8218349137175146,0.7786052
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.96204406,-0.49474612,-1.7813553,-1.0793818,-0.49474612,-0.96204406,0.1486325,-1.0126560451227764,0.46969163
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.9995455,-0.14937654,-1.8339223,-0.9942815,-0.14937654,-0.9995455,0.32863954,-0.8961489346006164,0.6694317
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.8951535,-0.40873137,-1.7765234,-1.0268027,-0.40873137,-0.8951535,0.21693477,-0.9544094133229841,0.5546113
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-1.4613339,-0.7307043,-1.3062464,-1.1660948,-0.7307043,-1.3062464,-0.015792906,-1.140984027415763,0.27725965
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-1.310873,-0.7261976,-1.9308579,-1.3226429,-0.7261976,-1.310873,-0.10719192,-1.2559296434786715,0.14576685
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-1.3635018,-0.79902804,-1.9623064,-1.3749455,-0.79902804,-1.3635018,-0.16716099,-1.3106727228788102,0.07363522
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-1.2597468,-0.61544013,-1.9834912,-1.286226,-0.61544013,-1.2597468,-0.03903514,-1.2030787506432108,0.22276706
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-1.2750592,-0.8147671,-1.8822393,-1.3240219,-0.8147671,-1.2750592,-0.13421082,-1.2707243511621975,0.11946708
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-1.398472,-0.55787563,-1.7818509,-1.2460662,-0.55787563,-1.398472,-0.012351811,-1.1781174066264444,0.2552786
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-1.1478753,-0.7704812,-1.7064979,-1.2082849,-0.7704812,-1.1478753,-0.03915584,-1.1694359399665528,0.24427128
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-1.6046814,-1.1362085,-1.777978,-1.5062894,-1.1362085,-1.6046814,-0.36966324,-1.4830566274049974,-0.15713763
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-1.5573611,-1.1685189,-1.8052317,-1.5103706,-1.1685189,-1.5573611,-0.37694377,-1.488671019178728,-0.16491193
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-1.5741149,-1.0771657,-1.9031125,-1.5181311,-1.0771657,-1.5741149,-0.3611793,-1.4818821542002605,-0.15127951
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-1.5844752,-0.9349011,-1.9771214,-1.4988326,-0.9349011,-1.5844752,-0.30632502,-1.4419728170552486,-0.09369087
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,-1.3817729,-0.6430985,-2.0849347,-1.3699354,-0.6430985,-1.3817729,-0.10412872,-1.2737644581409455,0.13636345
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,-1.4197662,-0.8077527,-1.4503971,-1.225972,-0.8077527,-1.4197662,-0.081094384,-1.2026576616266664,0.19590491
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0025.jpg,-1.3056341,-0.76360226,-1.78955,-1.286262,-0.76360226,-1.3056341,-0.100902915,-1.2382716069667197,0.16084182
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0026.jpg,-1.376238,-0.8481164,-1.8271962,-1.3505168,-0.8481164,-1.376238,-0.17243677,-1.3049196931938778,0.073856056
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0027.jpg,-1.7705772,-1.105556,-1.8322933,-1.5694755,-1.105556,-1.7705772,-0.4135362,-1.5342088599051302,-0.21455091
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0028.jpg,-1.7791116,-1.0233546,-1.8537076,-1.5520579,-1.0233546,-1.7791116,-0.37858373,-1.5068338430089772,-0.17705339
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0029.jpg,-1.5371414,-0.8931111,-1.864577,-1.4316097,-0.8931111,-1.5371414,-0.2493121,-1.3829855185854845,-0.022506952
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0030.jpg,-1.6547625,-0.8570044,-1.9027044,-1.4714904,-0.8570044,-1.6547625,-0.26822764,-1.4109883243042531,-0.051524222
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0031.jpg,-1.6843214,-0.54054534,-1.9305829,-1.38515,-0.54054534,-1.6843214,-0.09094873,-1.282703988153615,0.13822514
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0032.jpg,-1.6619735,-0.45691612,-1.8297008,-1.3161968,-0.45691612,-1.6619735,-0.016679227,-1.2168215134246254,0.22710806
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0033.jpg,-1.2873824,-0.387805,-1.9405483,-1.2052451,-0.387805,-1.2873824,0.09363791,-1.1055047390598276,0.37116885
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0034.jpg,-1.2118263,-0.5964334,-1.9011699,-1.2364765,-0.5964334,-1.2118263,-0.002182901,-1.162730813629034,0.2723143
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0035.jpg,-0.8121363,-0.10359374,-1.9068118,-0.9408472,-0.10359374,-0.8121363,0.40149292,-0.8300559373254766,0.7671458
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0036.jpg,-0.8925327,-0.34175995,-1.5202233,-0.91817194,-0.34175995,-0.8925327,0.2917728,-0.8705844236739124,0.6618689
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0037.jpg,-1.462089,-0.47426537,-2.0649614,-1.3337718,-0.47426537,-1.462089,-0.01926753,-1.2190623419725701,0.22454756
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0038.jpg,-1.2563276,-0.68148494,-2.0844967,-1.3407698,-0.68148494,-1.2563276,-0.08890486,-1.2499055312501999,0.16142547
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0039.jpg,-1.2763246,-0.4527898,-2.069753,-1.2662891,-0.4527898,-1.2763246,0.04030648,-1.1546070636413077,0.3048672
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0040.jpg,-1.2134444,-0.2729291,-1.9497226,-1.1453654,-0.2729291,-1.2134444,0.18284824,-1.0358339991303038,0.4760024
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0041.jpg,-1.0534406,-0.11620048,-1.8603405,-1.0099939,-0.11620048,-1.0534406,0.3326451,-0.9047746417146773,0.665912
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0042.jpg,-1.2807658,-0.4595811,-2.0299633,-1.25677,-0.4595811,-1.2807658,0.039906025,-1.151587449825557,0.30649513
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0043.jpg,-1.1406336,-0.5535219,-1.9808578,-1.2250044,-0.5535219,-1.1406336,0.03197211,-1.1372458183748757,0.3111503
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0044.jpg,-1.0584956,-0.12573883,-1.7294352,-0.9712232,-0.12573883,-1.0584956,0.3408961,-0.8842983912652057,0.6853356
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0045.jpg,-0.91157246,-0.5970199,-1.7457365,-1.0847763,-0.5970199,-0.91157246,0.119433045,-1.0282171711479364,0.44011438
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0046.jpg,-0.9046171,-0.49922875,-1.9211541,-1.1083332,-0.49922875,-0.9046171,0.14680943,-1.0226108051377318,0.46241653
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0047.jpg,-1.100598,-0.70708966,-1.7894374,-1.1990417,-0.70708966,-1.100598,-0.0072226524,-1.14718341648449,0.2792846
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0048.jpg,-1.1665154,-0.8315619,-1.124823,-1.0409667,-0.8315619,-1.124823,0.06908667,-1.0357404777472332,0.4012252
