filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.34536183,0.49677226,-0.4591916,0.1276475,0.49677226,0.34536183,1.3050039,0.12599377636289433,2.2413814
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,0.53144825,1.3435929,-2.6594057,-0.26145485,1.3435929,0.53144825,1.7235117,-0.015583328212194214,2.5625625
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,0.3918984,1.539087,-1.3550886,0.19196562,1.539087,0.3918984,1.8559926,0.16720331969371238,2.8128161
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,0.14651847,1.1145847,-0.760079,0.16700804,1.1145847,0.14651847,1.5419569,0.14448573398602937,2.4698224
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,0.20185459,1.2575296,-0.022973321,0.47880363,1.2575296,0.20185459,1.7435634,0.43772489558079397,2.937006
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,0.24720645,1.239066,0.08659524,0.5242892,1.239066,0.24720645,1.7618647,0.48746219176940164,3.0069327
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,0.27519107,1.0795352,0.28568137,0.5468026,1.0795352,0.28568137,1.7211156,0.526089214096592,3.0102518
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,0.053934813,1.140508,0.19579162,0.46341148,1.140508,0.19579162,1.6864076,0.4333855083117797,2.8795447
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,0.23680377,1.0887882,0.4114348,0.5790089,1.0887882,0.4114348,1.7486511,0.5587807730231489,3.0720701
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,0.2135489,1.2847998,-0.15181786,0.44884363,1.2847998,0.2135489,1.7424209,0.4034783525027963,2.901317
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,0.33597577,1.4401026,0.12008022,0.63205284,1.4401026,0.33597577,1.9092493,0.5777769244441198,3.2446396
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,0.42974675,1.4638312,-0.12627773,0.58910006,1.4638312,0.42974675,1.9081677,0.5270773967738723,3.1947107
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,0.26983964,0.7448698,0.69754463,0.57075137,0.7448698,0.69754463,1.6909692,0.5648997710236687,3.0246446
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,0.117254496,1.159442,-0.49536714,0.2604431,1.159442,0.117254496,1.5936959,0.22648508703996795,2.5891843
