filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.03579068,0.18949446,0.49308315,0.2394561,0.49308315,0.18949446,1.3564622,0.23712008200437473,2.385288
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.19800943,0.7812431,-1.6351229,-0.35062972,0.7812431,-0.19800943,1.1629871,-0.2686216325737333,1.7793913
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.31992042,0.9631356,-3.3349636,-0.89724946,0.9631356,-0.31992042,1.2183847,-0.4349492385773748,1.6995064
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,0.032322407,1.4048249,-3.3098037,-0.6242188,1.4048249,0.032322407,1.6378673,-0.20570262896230584,2.2714167
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.036781073,1.1809456,-2.6252964,-0.4937106,1.1809456,-0.036781073,1.4571625,-0.236494008867128,2.0752652
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.13179576,1.1128169,-2.373622,-0.46420026,1.1128169,-0.13179576,1.3894346,-0.2615353389946121,1.9869499
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.31753457,1.432132,-2.3949397,-0.42678073,1.432132,-0.31753457,1.6107845,-0.25189775694292393,2.1726146
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.16805822,1.4632335,-1.9337974,-0.21287401,1.4632335,-0.16805822,1.6695557,-0.13829778583088226,2.3259444
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.68135065,1.3904083,-1.542852,-0.27793148,1.3904083,-0.68135065,1.5552337,-0.2509913940927405,2.100399
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.21667993,1.4437912,-1.0135565,0.07118491,1.4437912,-0.21667993,1.6872951,0.028490546353858948,2.4752026
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.27246326,1.8531468,-1.0066313,0.19135074,1.8531468,-0.27246326,2.015811,0.08597069965578075,2.8184185
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.13118476,1.8640175,-1.115048,0.2059282,1.8640175,-0.13118476,2.0353005,0.10669601519441096,2.8661034
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,0.30248106,1.503274,0.11674149,0.6408322,1.503274,0.30248106,1.9421068,0.578640279331514,3.27601
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.08466959,1.6775992,-1.6106436,-0.0059046745,1.6775992,-0.08466959,1.8673716,-0.016092492240924128,2.6118793
