filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.43854582,-0.13618246,0.03703331,0.11313223,0.43854582,0.03703331,1.2415175,0.11101610003650286,2.1670597
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,0.41549373,0.08312544,-0.09360401,0.13500506,0.41549373,0.08312544,1.2563109,0.13325011275585275,2.2002778
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,0.09425068,0.32344887,-2.416762,-0.6663542,0.32344887,0.09425068,0.943879,-0.42548741348883923,1.4918164
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,0.13972938,0.30711147,-2.8374126,-0.7968573,0.30711147,0.13972938,0.94314003,-0.4523714549353665,1.4747565
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.08712947,0.049598366,-3.0225544,-1.0200285,0.049598366,-0.08712947,0.7011571,-0.6380746339588387,1.1384414
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,0.20280826,0.49520907,-3.5687087,-0.9568971,0.49520907,0.20280826,1.0625951,-0.4064637473869269,1.6176213
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,0.05063045,0.44873717,-3.1242018,-0.8749447,0.44873717,0.05063045,0.97916746,-0.45416359366644937,1.5035217
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,0.5192894,0.46958426,-2.6759322,-0.56235284,0.5192894,0.46958426,1.2086632,-0.2592076840074803,1.8637835
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,0.043555856,-0.026387215,-1.9853014,-0.65604424,0.043555856,-0.026387215,0.76816905,-0.5107607187958585,1.2781706
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,0.4353323,0.26502654,-1.1509181,-0.15018642,0.4353323,0.26502654,1.1522441,-0.11567643423599294,1.9048332
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,0.97014046,0.30991855,-1.096875,0.06106134,0.97014046,0.30991855,1.4668466,0.0698135002743474,2.3484783
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,0.83254886,0.43734857,-0.9567675,0.10437665,0.83254886,0.43734857,1.442651,0.10950467215133297,2.3644454
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.34716058,-0.56007373,0.045358274,-0.287292,0.045358274,-0.34716058,0.84340245,-0.28329381684027255,1.5012791
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,0.08786833,-0.71742463,-0.67480516,-0.43478715,0.08786833,-0.67480516,0.7367369,-0.42308679557951356,1.307746
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,0.7981278,-0.29570493,-0.76651764,-0.08803161,0.7981278,-0.29570493,1.2325641,-0.08883895411320841,1.9780227
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,0.6393124,0.30174926,-0.8485247,0.030845642,0.6393124,0.30174926,1.3016744,0.03895236012745973,2.1662083
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,0.91011536,-0.114663094,-0.65494394,0.046836097,0.91011536,-0.114663094,1.3598855,0.035024436603166786,2.1989925
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,0.09062874,-0.5029638,-0.81070673,-0.4076806,0.09062874,-0.5029638,0.7627395,-0.3954389735555759,1.3496624
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,0.56115067,-0.2771108,-0.74821126,-0.1547238,0.56115067,-0.2771108,1.0932214,-0.1481474224086028,1.8130457
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-0.27991158,-0.7806145,-0.796777,-0.61910105,-0.27991158,-0.7806145,0.50967765,-0.611168167285971,0.99855465
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-0.6180619,-1.4397601,-1.0748526,-1.0442249,-0.6180619,-1.0748526,0.11093366,-1.01794064371871,0.44053003
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-0.57481456,-1.319703,-1.0418228,-0.9787801,-0.57481456,-1.0418228,0.16791397,-0.9580727338077208,0.51827383
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-0.6064329,-0.96349156,-1.3370382,-0.9689875,-0.6064329,-0.96349156,0.17351049,-0.9493435014099784,0.5280291
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,-0.1923396,-0.44124016,-0.91500086,-0.51619357,-0.1923396,-0.44124016,0.62528646,-0.5044506433904092,1.1631769
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,-0.3744275,-0.5309764,0.01039844,-0.29833516,0.01039844,-0.3744275,0.8268762,-0.29497323916694473,1.4789187
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0025.jpg,-0.16245294,0.0087661445,-0.62021196,-0.25796625,0.0087661445,-0.16245294,0.87408924,-0.2528034429654331,1.5507903
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0026.jpg,-0.018181682,0.14634791,-0.5826607,-0.15149815,0.14634791,-0.018181682,0.9925078,-0.14653201711732,1.7341777
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0027.jpg,-0.055363297,0.02962628,-0.36704364,-0.13092689,0.02962628,-0.055363297,0.9817002,-0.1297493130361692,1.73833
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0028.jpg,1.1341254,0.8511535,-0.36958203,0.5385656,1.1341254,0.8511535,1.8151218,0.4981176880134832,3.1010344
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0029.jpg,-0.3275671,-0.08553299,-0.308247,-0.24044903,-0.08553299,-0.308247,0.86433685,-0.23980219716615103,1.5528953
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0030.jpg,0.25372744,0.10965851,-0.5351505,-0.057254862,0.25372744,0.10965851,1.0953732,-0.05361648566490518,1.898942
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0031.jpg,0.04309702,0.06106016,-0.59612924,-0.16399069,0.06106016,0.04309702,0.97755206,-0.15864838295823003,1.7119889
