filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.2993101,-0.8620839,0.02754778,-0.37794873,0.02754778,-0.2993101,0.78460515,-0.3646312858531021,1.3919024
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.29048848,-0.52159953,-0.18550315,-0.33253038,-0.18550315,-0.29048848,0.77571964,-0.3308254485372565,1.4107894
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.32515538,-0.14104822,-0.89069164,-0.4522984,-0.14104822,-0.32515538,0.6937642,-0.4400554657945874,1.2638208
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.29835427,-0.21048954,-0.9375287,-0.48212418,-0.21048954,-0.29835427,0.6646552,-0.468476586045295,1.2203212
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.34952718,-0.42948517,-1.1847564,-0.6545896,-0.34952718,-0.42948517,0.5078327,-0.630863359952279,0.98414576
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.17157286,0.15637252,-1.3910464,-0.46874893,0.15637252,-0.17157286,0.81554854,-0.41176613771454673,1.3840185
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.28710192,-0.25274244,-1.6453503,-0.72839826,-0.25274244,-0.28710192,0.5423522,-0.6520243867127833,0.9969447
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.04748684,0.08537564,-1.3126106,-0.4249073,0.08537564,-0.04748684,0.8380548,-0.37567429851179845,1.4302461
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.42729568,0.25352213,-1.127853,-0.43387553,0.25352213,-0.42729568,0.8173779,-0.402170389907904,1.3876507
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.1852904,0.4919369,-1.0904136,-0.2612557,0.4919369,-0.1852904,1.0304838,-0.23316731351327513,1.6950369
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.3426963,0.42160538,-1.090535,-0.33720866,0.42160538,-0.3426963,0.9440216,-0.30836786238736147,1.5616802
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.29081523,0.6877706,-0.9695357,-0.19086011,0.6877706,-0.29081523,1.1366106,-0.1761230094998989,1.8254442
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,0.074991465,0.1673837,-0.10966462,0.04423685,0.1673837,0.074991465,1.1493742,0.04413911943912674,2.0278518
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.08433324,0.2808034,-1.1931959,-0.33224192,0.2808034,-0.08433324,0.93474686,-0.2936108688494946,1.5713292
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.23863012,0.8148265,-1.4226447,-0.28214946,0.8148265,-0.23863012,1.1901474,-0.23033521585569172,1.8294073
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,0.08207226,0.6816548,-0.971073,-0.0691153,0.6816548,0.08207226,1.2358661,-0.054305293748902916,2.0228875
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,0.005281329,0.75088406,-1.1711035,-0.1383127,0.75088406,0.005281329,1.2337817,-0.1103155375692676,1.9731411
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-0.43135548,0.889284,-0.9474073,-0.1631596,0.889284,-0.43135548,1.2443734,-0.15772392496974919,1.9256966
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-0.32235295,0.57467246,-0.8343401,-0.19400686,0.57467246,-0.32235295,1.0767593,-0.18361938781638576,1.7693027
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-0.2550422,0.56603706,-0.82419884,-0.171068,0.56603706,-0.2550422,1.0901577,-0.16127641410076676,1.8001283
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-0.08944988,0.6974608,-0.6071919,0.00027298927,0.6974608,-0.08944988,1.2435662,-0.0026971629943496334,2.0666444
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-0.037230134,0.8339895,-0.56216705,0.07819744,0.8339895,-0.037230134,1.3444074,0.06794302794974372,2.217043
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-0.10706961,0.8396354,-0.5649992,0.055855513,0.8396354,-0.10706961,1.3303444,0.04539185096004017,2.182887
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,0.07141191,1.2264414,-0.54557514,0.25075936,1.2264414,0.07141191,1.6218817,0.21135952321481688,2.5985227
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,-0.18466389,-0.04442504,0.073874414,-0.051738173,0.073874414,-0.04442504,1.0524296,-0.051583887501752024,1.8627003
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0025.jpg,-0.07518643,0.71797705,-1.10416,-0.15378977,0.71797705,-0.07518643,1.1967492,-0.13040482885930293,1.9211297
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0026.jpg,0.0688951,-0.03885272,-1.5698572,-0.51327163,0.0688951,-0.03885272,0.80705214,-0.43368275832154224,1.3633509
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0027.jpg,-0.041025758,1.0450078,-1.5456287,-0.18054886,1.0450078,-0.041025758,1.3903868,-0.12646327691431503,2.0965548
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0028.jpg,-0.22541964,0.61085343,-1.1866701,-0.26707876,0.61085343,-0.22541964,1.0802513,-0.2332207192719441,1.7352464
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0029.jpg,-0.09164947,0.8441303,-1.1106867,-0.119401954,0.8441303,-0.09164947,1.2719244,-0.10117819866251454,2.008939
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0030.jpg,0.35950541,1.2847106,-0.85526013,0.26298532,1.2847106,0.35950541,1.6995373,0.22832245629442616,2.707716
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0031.jpg,0.277923,1.5202534,-1.0381756,0.2533336,1.5202534,0.277923,1.8322403,0.20217240257098135,2.8040726
