filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.079686284,-0.05973831,0.21352595,0.077824645,0.21352595,0.079686284,1.1826451,0.07758632061537207,2.0860562
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.3432163,0.11344764,-0.730304,-0.32002422,0.11344764,-0.3432163,0.83784497,-0.3111693889539231,1.4748553
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.5974824,0.2342126,-1.731681,-0.6983169,0.2342126,-0.5974824,0.68868476,-0.5992010017703592,1.1412382
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.13927877,0.41380653,-2.2262402,-0.6505708,0.41380653,-0.13927877,0.9124768,-0.4548069423282546,1.4364123
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.33982664,0.46769795,-2.1223285,-0.66481906,0.46769795,-0.33982664,0.88705194,-0.49289448163620014,1.3804951
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.040874958,0.61476326,-2.5006788,-0.6422635,0.61476326,-0.040874958,1.0616707,-0.38520019987632514,1.6178825
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,0.013975143,0.49208894,-1.912704,-0.46887997,0.49208894,0.013975143,1.0287203,-0.332675215471788,1.6277732
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.084073246,0.4301841,-2.1774678,-0.61045235,0.4301841,-0.084073246,0.9439964,-0.4239665735283923,1.4866881
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,0.03269291,0.63985884,-1.2966927,-0.20804699,0.63985884,0.03269291,1.1640508,-0.16354199657572654,1.8716242
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.13449454,0.5652851,-1.2952627,-0.28815737,0.5652851,-0.13449454,1.0674424,-0.24242741064254703,1.7207944
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.27833128,0.4068096,-1.0031798,-0.29156718,0.4068096,-0.27833128,0.9653764,-0.26893969239103477,1.6110934
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.14566386,0.71362615,-1.0170388,-0.14969218,0.71362615,-0.14566386,1.1840229,-0.1329221530806015,1.9052832
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.21902543,0.24526623,0.096502036,0.04091428,0.24526623,0.096502036,1.1576905,0.040778078065121015,2.0323336
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.6557105,0.50782084,-1.358225,-0.50203824,0.50782084,-0.6557105,0.891119,-0.4465720664492105,1.4067969
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.64009035,0.46007028,-1.8247346,-0.6682515,0.46007028,-0.64009035,0.82096434,-0.5506747545077072,1.276236
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.47938764,0.5974039,-1.9703536,-0.61744577,0.5974039,-0.47938764,0.9462241,-0.4756919807411133,1.4345537
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-0.67021185,0.54555464,-1.5777398,-0.5674657,0.54555464,-0.67021185,0.89347506,-0.4857740303429406,1.3788908
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-0.5643259,0.57476044,-1.4336203,-0.47439528,0.57476044,-0.5643259,0.94929695,-0.4124934628838879,1.4803731
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-0.5735886,0.58824706,-0.95305187,-0.3127978,0.58824706,-0.5735886,1.0115614,-0.2932249383097467,1.6228493
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-0.47131318,0.54534566,-1.3891426,-0.43837008,0.54534566,-0.47131318,0.95500195,-0.38203955325100747,1.510642
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-0.49634096,0.6652911,-1.1626486,-0.33123282,0.6652911,-0.49634096,1.0530804,-0.29950523589213796,1.6523442
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-0.14970791,0.8383522,-1.4395974,-0.2503177,0.8383522,-0.14970791,1.2268693,-0.19748124525847233,1.8909507
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-0.31023693,0.8310877,-1.3173152,-0.26548815,0.8310877,-0.31023693,1.1929952,-0.22641949874409972,1.8314085
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,-0.17231095,0.8555021,-1.2792065,-0.19867177,0.8555021,-0.17231095,1.2448835,-0.16512903600612816,1.9304415
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,-0.35320354,0.41931745,-0.28218347,-0.07202318,0.41931745,-0.28218347,1.0910816,-0.07223917181452966,1.8761363
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0025.jpg,-0.68459594,0.36041686,-1.1854026,-0.5031939,0.36041686,-0.68459594,0.80819046,-0.4635108826067922,1.3298119
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0026.jpg,-0.82218134,0.09361604,-1.170148,-0.63290447,0.09361604,-0.82218134,0.6140666,-0.5963813909076512,1.084326
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0027.jpg,-0.7652644,0.43723592,-1.4161763,-0.5814016,0.43723592,-0.7652644,0.813714,-0.5174210877770684,1.29198
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0028.jpg,-0.6186583,0.4756656,-1.4885695,-0.54385406,0.4756656,-0.6186583,0.8643433,-0.4740884650476693,1.3662364
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0029.jpg,-0.44573283,0.70124483,-1.522134,-0.42220733,0.70124483,-0.44573283,1.0560045,-0.3529701846485117,1.614935
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0030.jpg,-0.53367126,0.75655794,-1.4965223,-0.4245452,0.75655794,-0.53367126,1.0788463,-0.3595413698427188,1.6251571
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0031.jpg,-0.38039535,0.77842593,-1.8632559,-0.48840842,0.77842593,-0.38039535,1.1041963,-0.3698989708013274,1.6449487
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0032.jpg,-0.5318508,0.75077033,-1.3472623,-0.37611425,0.75077033,-0.5318508,1.0872476,-0.3285913313715979,1.6559138
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0033.jpg,-0.4328429,0.68228006,-1.6678087,-0.47279048,0.68228006,-0.4328429,1.035213,-0.3827221346754328,1.5762401
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0034.jpg,-0.61905205,0.7121564,-1.5746497,-0.49384844,0.7121564,-0.61905205,1.0238588,-0.4159914591615592,1.5352294
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0035.jpg,-0.66411257,0.6237817,-1.7469268,-0.59575254,0.6237817,-0.66411257,0.93805623,-0.4904965816642144,1.410469
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0036.jpg,-0.68617094,0.26530537,-0.4238815,-0.28158236,0.26530537,-0.4238815,0.9009054,-0.27313394133486923,1.5541102
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0037.jpg,-0.8987199,0.26608428,-1.309342,-0.6473259,0.26608428,-0.8987199,0.6840727,-0.5927070139629502,1.1374362
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0038.jpg,-0.9646449,0.22347584,-1.7694365,-0.8368685,0.22347584,-0.9646449,0.5888767,-0.7275478058448914,0.9699447
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0039.jpg,-0.78185904,0.24868354,-1.8572619,-0.7968125,0.24868354,-0.78185904,0.6397413,-0.676998943790466,1.0458847
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0040.jpg,-0.68850493,0.36084428,-1.6696199,-0.6657602,0.36084428,-0.68850493,0.753859,-0.5723483759864815,1.2078388
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0041.jpg,-0.28937674,0.60357416,-1.5627397,-0.41618076,0.60357416,-0.28937674,1.0249422,-0.3393749368176956,1.606059
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0042.jpg,-0.29740733,0.7873851,-1.4492763,-0.3197662,0.7873851,-0.29740733,1.1553466,-0.26341391849702334,1.7716913
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0043.jpg,-0.25504833,0.8514862,-1.4111434,-0.2715685,0.8514862,-0.25504833,1.2124972,-0.2228996468510146,1.8532698
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0044.jpg,-0.3063063,0.83335614,-1.5532396,-0.34206328,0.83335614,-0.3063063,1.1782706,-0.2741039656898946,1.782315
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0045.jpg,-0.53038776,0.6464107,-1.8477899,-0.57725567,0.6464107,-0.53038776,0.97630894,-0.4574675935122884,1.4697461
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0046.jpg,-0.64985335,0.51205575,-1.4374164,-0.5250713,0.51205575,-0.64985335,0.8872248,-0.4609848507632127,1.3930298
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0047.jpg,-0.5282528,0.5174813,-1.4225111,-0.47776088,0.5174813,-0.5282528,0.9197004,-0.41693487829368625,1.4546642
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0048.jpg,-0.49539068,0.26855436,-0.2854336,-0.17075664,0.26855436,-0.2854336,0.9817388,-0.1677462360212395,1.7059417
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0049.jpg,-0.63759696,0.007713884,-1.0310483,-0.55364376,0.007713884,-0.63759696,0.63812995,-0.5313598392351326,1.1516633
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0050.jpg,-0.6986709,0.23326167,-1.3821124,-0.61584055,0.23326167,-0.6986709,0.69863474,-0.5597305868809126,1.1750622
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0051.jpg,-0.6572444,0.23874864,-1.7956314,-0.73804235,0.23874864,-0.6572444,0.6698578,-0.6290942707462417,1.1046215
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0052.jpg,-0.6347044,0.4360607,-1.5907983,-0.59648067,0.4360607,-0.6347044,0.8243761,-0.5136196116101011,1.3057637
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0053.jpg,-0.69602776,0.7761133,-1.7696346,-0.563183,0.7761133,-0.69602776,1.0444964,-0.4569579851032643,1.5184562
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0054.jpg,-0.5417165,0.86904335,-1.6449943,-0.43922248,0.86904335,-0.5417165,1.1503792,-0.3582888455671176,1.6839803
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0055.jpg,-0.5032183,0.78450644,-1.7941601,-0.50429064,0.78450644,-0.5032183,1.0859233,-0.3971403798145826,1.6038529
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0056.jpg,-0.47513214,0.6686368,-1.6117076,-0.4727343,0.6686368,-0.47513214,1.0199026,-0.3902770258151249,1.5564752
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0057.jpg,-0.30966252,0.7293179,-1.5351788,-0.3718411,0.7293179,-0.30966252,1.106176,-0.30215824014608805,1.7005049
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0058.jpg,-0.24488926,0.795758,-1.4810668,-0.310066,0.795758,-0.24488926,1.171338,-0.2500757128510319,1.7979863
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0059.jpg,-0.14345217,0.8549422,-1.6212679,-0.30325928,0.8549422,-0.14345217,1.2282503,-0.2265219149983777,1.8703917
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0060.jpg,-0.49445915,0.5918125,-0.493062,-0.13190289,0.5918125,-0.493062,1.1078744,-0.13112470214271466,1.8373154
