filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.44165993,0.56393826,0.058985073,0.3548611,0.56393826,0.44165993,1.4755926,0.3512468089947506,2.604241
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,0.49682176,0.82959163,-0.16752738,0.38629532,0.82959163,0.49682176,1.5647805,0.3725104894224879,2.7123272
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,0.35899973,0.86852634,-0.39712587,0.27680007,0.86852634,0.35899973,1.5013051,0.2618056616418356,2.546267
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,0.3467704,0.88276696,-0.41373977,0.2719325,0.88276696,0.3467704,1.502575,0.25638879517809954,2.542195
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,0.38263714,1.2717276,-0.5312428,0.374374,1.2717276,0.38263714,1.7265148,0.33067987802747545,2.8263714
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,0.5974606,1.4031057,-0.5408034,0.48658767,1.4031057,0.5974606,1.8668039,0.4273919703683501,3.072354
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,0.2397263,1.2501107,-0.2909518,0.3996284,1.2501107,0.2397263,1.7064162,0.3567166505105148,2.8226602
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,0.16489184,1.1777028,-0.28194997,0.3535482,1.1777028,0.16489184,1.6448984,0.31681030257650056,2.723687
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,0.20403063,1.0083234,0.07388319,0.42874575,1.0083234,0.20403063,1.6182032,0.40822398090401335,2.7909262
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,0.40985358,1.0139549,0.11830059,0.51403636,1.0139549,0.40985358,1.6842968,0.49575941021043957,2.9451995
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,0.16667867,0.7364353,0.019932404,0.30768213,0.7364353,0.16667867,1.4562831,0.2992428481218137,2.534481
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.097865105,0.31321946,-0.043342765,0.057337195,0.31321946,-0.043342765,1.1731557,0.056535292622891586,2.0590196
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,0.03079176,0.40838632,-0.073362775,0.12193844,0.40838632,0.03079176,1.2426903,0.12023222986967674,2.1763797
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,0.2187494,0.6532961,-0.093320444,0.25957504,0.6532961,0.2187494,1.4054316,0.25322442007348156,2.4451292
