filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.40214342,0.1611838,0.14130315,-0.03321882,0.1611838,0.14130315,1.097131,-0.0316377459522823,1.9184225
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.591788,0.3941147,-1.0458978,-0.41452372,0.3941147,-0.591788,0.8703656,-0.3867341412905867,1.4380134
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.7838959,0.38349602,-3.6212432,-1.3405477,0.38349602,-0.7838959,0.6682286,-0.7935055392176094,0.9896234
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.8468052,0.28598103,-4.023999,-1.5282745,0.28598103,-0.8468052,0.57533795,-0.8653273389725107,0.8713534
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.44914055,0.50685525,-4.56981,-1.5040318,0.50685525,-0.44914055,0.8366408,-0.6575245558615175,1.2245977
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.9553623,-0.09061763,-3.8054326,-1.6171376,-0.09061763,-0.9553623,0.27785087,-1.0512869402886489,0.53551906
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.70326436,0.31592557,-3.7528145,-1.3800511,0.31592557,-0.70326436,0.63654864,-0.7964844614550661,0.96641344
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.7581823,0.007952601,-3.6669304,-1.4723867,0.007952601,-0.7581823,0.40683505,-0.9346494847650854,0.7051325
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.83604264,0.03180787,-3.563876,-1.4560369,0.03180787,-0.83604264,0.40150413,-0.9479884271980419,0.6909942
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.8204652,0.04830095,-3.7577903,-1.5099849,0.04830095,-0.8204652,0.4141265,-0.9435673910750142,0.7033967
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.62943053,0.48986068,-3.345881,-1.161817,0.48986068,-0.62943053,0.7885543,-0.6905328542760412,1.1558919
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.33991933,0.7422619,-2.8048637,-0.8008404,0.7422619,-0.33991933,1.0553653,-0.4748861649031729,1.5323486
