filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.0017601252,0.6825489,0.025929574,0.23557277,0.6825489,0.025929574,1.3871503,0.22811628375280169,2.4034753
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,0.22432733,1.1650572,-2.8780224,-0.49621263,1.1650572,0.22432733,1.5071466,-0.17195721479064763,2.197515
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.07676309,1.1573515,-4.9158626,-1.2784247,1.1573515,-0.07676309,1.4146229,-0.33791800327046795,1.9619311
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.009706378,1.4174848,-4.9172854,-1.1698357,1.4174848,-0.009706378,1.634011,-0.25499547487690577,2.2277126
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.20723748,1.3859999,-4.470377,-1.0972048,1.3859999,-0.20723748,1.5734153,-0.32326377111893,2.0999417
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,0.15117586,1.5820078,-4.240222,-0.8356795,1.5820078,0.15117586,1.7987878,-0.15844970244248147,2.4739547
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.23019814,1.4573815,-4.0883913,-0.953736,1.4573815,-0.23019814,1.6303854,-0.3086610664482642,2.1587114
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.08291316,1.3669772,-3.3373554,-0.6844304,1.3669772,-0.08291316,1.5850295,-0.2540419184655198,2.1737447
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,0.11887097,1.4400434,-3.2951725,-0.5787527,1.4400434,0.11887097,1.6834624,-0.16855621348918748,2.3525343
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,0.35409462,1.7117693,-2.4097989,-0.11464492,1.7117693,0.35409462,1.9535205,0.022806716327565812,2.7899456
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,0.42235744,1.5975542,-2.2547445,-0.07827759,1.5975542,0.42235744,1.882725,0.04089180075314691,2.745865
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,0.45418513,1.6780579,-2.36197,-0.0765756,1.6780579,0.45418513,1.9493713,0.05387975643076259,2.827659
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.07625508,0.80365443,0.29079863,0.33939934,0.80365443,0.29079863,1.5035805,0.32810244937060595,2.6073089
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.5642767,1.2732368,-1.498983,-0.26334098,1.2732368,-0.5642767,1.4735096,-0.2324652310057722,2.0509386
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.63444465,1.1718119,-2.6864934,-0.71637535,1.1718119,-0.63444465,1.3418683,-0.44205975206202014,1.7766902
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.5856476,1.263038,-2.9274971,-0.7500356,1.263038,-0.5856476,1.4222463,-0.42216871857810445,1.8624731
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-0.46976328,1.444377,-2.7513106,-0.5922323,1.444377,-0.46976328,1.5949748,-0.331240394735547,2.0866785
