filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.15092862,-0.16090855,-0.31843162,-0.21008961,-0.15092862,-0.16090855,0.89141095,-0.2097566351498381,1.5989251
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.2672528,0.56952775,-0.9338132,-0.21051276,0.56952775,-0.2672528,1.0736239,-0.19476307291429917,1.7589326
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.5940233,0.2749326,-2.6749904,-0.998027,0.2749326,-0.5940233,0.6613732,-0.7104760658324654,1.0448949
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.67396,0.2781311,-3.315408,-1.237079,0.2781311,-0.67396,0.6241534,-0.7818791089130122,0.96725404
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.39813757,0.8800175,-2.7725344,-0.7635515,0.8800175,-0.39813757,1.1458187,-0.4509394593914059,1.6209708
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.37059337,1.0764842,-2.7465706,-0.68022656,1.0764842,-0.37059337,1.3053058,-0.38535718713557054,1.8044981
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.30974114,1.1411899,-2.6461055,-0.6048856,1.1411899,-0.30974114,1.3699248,-0.3401688523515014,1.8974193
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.20183527,1.1722703,-2.5417414,-0.5237688,1.1722703,-0.20183527,1.4171325,-0.28695273482775363,1.9866027
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.32848334,1.1984291,-1.9285892,-0.35288116,1.1984291,-0.32848334,1.4303768,-0.2496057251986037,2.0149658
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.2726279,1.2129397,-1.4821852,-0.18062447,1.2129397,-0.2726279,1.4706067,-0.14937253665609607,2.13194
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.20440245,1.5094211,-1.2957666,0.0030840237,1.5094211,-0.20440245,1.7250735,-0.022760665119101908,2.465662
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.13460052,1.7654679,-1.2555345,0.12511094,1.7654679,-0.13460052,1.9463807,0.05606439595610302,2.7396326
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.26951742,0.81988454,-0.09483709,0.15184334,0.81988454,-0.09483709,1.3720703,0.13828103377762924,2.303972
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.56345123,0.7144674,-1.78982,-0.5462679,0.7144674,-0.56345123,1.0222098,-0.4371907349835983,1.5201242
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.3738346,1.140925,-2.2491312,-0.49401358,1.140925,-0.3738346,1.3669188,-0.32155743090839894,1.903099
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.5987162,1.0806034,-2.2978482,-0.6053204,1.0806034,-0.5987162,1.2799467,-0.41582748564904404,1.7456309
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-0.2687075,1.3061965,-2.219131,-0.3938807,1.3061965,-0.2687075,1.5184567,-0.24367046604907716,2.1015093
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-0.32317972,1.7498252,-1.5388821,-0.037412208,1.7498252,-0.32317972,1.900922,-0.06865405639217137,2.5757215
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-0.4499666,1.3858923,-1.1770558,-0.08037672,1.3858923,-0.4499666,1.5982205,-0.10023536203103223,2.272981
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-0.3991223,1.2736895,-1.4680012,-0.19781135,1.2736895,-0.3991223,1.4985753,-0.173576496450906,2.1286533
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-0.2820177,1.4221994,-1.2629882,-0.040935516,1.4221994,-0.2820177,1.6454415,-0.058547275392275666,2.3590565
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-0.31386352,1.3183821,-1.269817,-0.08843279,1.3183821,-0.31386352,1.5579071,-0.09290270439855597,2.2514415
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-0.06496048,1.5102909,-1.2026082,0.08090738,1.5102909,-0.06496048,1.7519026,0.045182976160165755,2.5591877
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,-0.19745797,1.5101573,-1.3163791,-0.0012265841,1.5101573,-0.19745797,1.725684,-0.024933101933865554,2.4649398
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,-0.23494875,0.9109851,-0.3221525,0.11796129,0.9109851,-0.23494875,1.3867868,0.09992914246741069,2.2790482
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0025.jpg,-0.46526298,0.66924965,-1.5859293,-0.46064755,0.66924965,-0.46526298,1.0244269,-0.3818661579999394,1.5668011
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0026.jpg,-0.33845222,1.0125098,-2.2106214,-0.5121879,1.0125098,-0.33845222,1.2739669,-0.3385334910127439,1.8135579
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0027.jpg,-0.554571,1.1372998,-2.3098185,-0.5756965,1.1372998,-0.554571,1.3328763,-0.3884088704835136,1.8127476
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0028.jpg,-0.18232214,1.487086,-2.1277683,-0.2743348,1.487086,-0.18232214,1.68206,-0.16488881500262487,2.3153765
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0029.jpg,-0.37821048,1.6541839,-2.1122031,-0.27874327,1.6541839,-0.37821048,1.797554,-0.19537838921523765,2.376375
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0030.jpg,-0.18609774,1.7998097,-2.2313273,-0.20587178,1.7998097,-0.18609774,1.9439188,-0.12187407618197243,2.5866652
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0031.jpg,-0.13218093,1.6666985,-2.1915467,-0.21900971,1.6666985,-0.13218093,1.8377814,-0.12195082367493926,2.49565
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0032.jpg,0.3351369,2.2105193,-1.8755116,0.22338152,2.2105193,0.3351369,2.3676105,0.1564574310654795,3.2954748
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0033.jpg,0.061364412,1.7964492,-1.709386,0.049475867,1.7964492,0.061364412,1.9840957,0.035064659201925474,2.780407
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0034.jpg,0.1781776,1.9286518,-1.4502975,0.21884398,1.9286518,0.1781776,2.1174314,0.14355651631581479,3.01326
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0035.jpg,-0.09199351,1.6264224,-1.6861199,-0.050563693,1.6264224,-0.09199351,1.8218029,-0.041361008607628924,2.5488145
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0036.jpg,0.22714293,1.0975434,-0.37073007,0.31798542,1.0975434,0.22714293,1.597777,0.2882553442354002,2.6556141
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0037.jpg,-0.3432861,0.83248055,-2.0852494,-0.53201836,0.83248055,-0.3432861,1.1419035,-0.3744073352064926,1.675282
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0038.jpg,-0.36714745,1.0844564,-2.993925,-0.75887203,1.0844564,-0.36714745,1.308503,-0.3995408487517754,1.7975807
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0039.jpg,-0.3498602,1.3266417,-3.0317764,-0.68499833,1.3266417,-0.3498602,1.508818,-0.33686761882230265,2.0177138
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0040.jpg,-0.17210913,1.1619604,-2.6914933,-0.567214,1.1619604,-0.17210913,1.4124153,-0.29240635518211555,1.9813844
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0041.jpg,-0.17104083,1.5614133,-2.2148006,-0.27480936,1.5614133,-0.17104083,1.7435341,-0.15721788629247202,2.3781226
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0042.jpg,-0.06173092,1.791461,-1.8406591,-0.036976337,1.791461,-0.06173092,1.9596804,-0.028466151784572014,2.690049
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0043.jpg,-0.30643582,1.4740883,-1.8747567,-0.2357014,1.4740883,-0.30643582,1.6594675,-0.17288904624061874,2.2769387
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0044.jpg,-0.3189397,1.5351636,-1.6469101,-0.14356203,1.5351636,-0.3189397,1.7158946,-0.12653957909415747,2.3627806
