filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.28065884,0.5687417,0.35931212,0.40290418,0.5687417,0.35931212,1.5090404,0.40137560959300855,2.6834712
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,0.261647,0.50620663,0.24809441,0.33864936,0.50620663,0.261647,1.4444771,0.3373850098625727,2.5609212
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.028829813,0.5269463,-1.2953597,-0.26574776,0.5269463,-0.028829813,1.0781147,-0.21885514665026995,1.7518203
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.037730813,0.5589626,-1.5677277,-0.34883198,0.5589626,-0.037730813,1.0717027,-0.2691852136427546,1.7085737
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,0.10729635,0.6325139,-1.7599052,-0.34003165,0.6325139,0.10729635,1.1529937,-0.23215717319943507,1.8146923
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,0.14516985,0.4261094,-1.479937,-0.3028859,0.4261094,0.14516985,1.0699303,-0.23222460116261567,1.74057
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,0.6203085,0.9395182,-0.9311412,0.20956184,0.9395182,0.6203085,1.5711863,0.203343587458789,2.5792122
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.21634012,0.16601947,-1.057799,-0.3693732,0.16601947,-0.21634012,0.8472736,-0.3429694685679774,1.4595397
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.16430938,0.4251924,-0.8760296,-0.20504887,0.4251924,-0.16430938,1.0277596,-0.19025040077250865,1.7270191
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,0.07966477,0.6158025,-0.82128286,-0.041938525,0.6158025,0.07966477,1.216079,-0.033789448544886413,2.021674
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,0.11409128,0.8236973,-0.6965363,0.08041743,0.8236973,0.11409128,1.3604823,0.07482567655553041,2.2427685
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.0811519,0.5509902,-0.9525461,-0.1609026,0.5509902,-0.0811519,1.112772,-0.14363108012555426,1.8381011
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,0.31917465,1.3902789,0.47543183,0.72829515,1.3902789,0.47543183,1.9460058,0.6877946483641766,3.4042041
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,0.0153926015,0.5275248,-1.2401277,-0.23240341,0.5275248,0.0153926015,1.0984759,-0.19102202810203617,1.7922237
