filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.008672357,-1.3024799,-7.821528,-3.0442266,-0.008672357,-1.3024799,0.23398301,-1.1673910344421539,0.4277137
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.34154147,-0.9361472,-19.564632,-6.9474406,-0.34154147,-0.9361472,0.09786117,-1.194968772867709,0.3231628
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.66395116,-1.0835651,-22.233095,-7.9935374,-0.66395116,-1.0835651,-0.15876108,-1.4016051924629476,0.027037382
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.8503359,-1.3655388,-21.999466,-8.07178,-0.8503359,-1.3655388,-0.38197148,-1.6029623522179082,-0.23373377
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.62848586,-0.87390214,-21.630585,-7.710991,-0.62848586,-0.87390214,-0.05053705,-1.300392423672365,0.1598345
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-1.0138006,-0.9290714,-21.04182,-7.661564,-0.9290714,-1.0138006,-0.27739173,-1.4953730439766963,-0.10419512
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.984674,-0.85482764,-20.615715,-7.4850726,-0.85482764,-0.984674,-0.22449762,-1.449173325423565,-0.04310155
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.82268643,-0.32896295,-19.456074,-6.869241,-0.32896295,-0.82268643,0.14748833,-1.145953833033133,0.38868153
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-1.336949,-1.230502,-20.353514,-7.6403217,-1.230502,-1.336949,-0.5891626,-1.7767739576396666,-0.45962167
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.93926436,-0.65891886,-20.487732,-7.3619714,-0.65891886,-0.93926436,-0.096152246,-1.3410110727938045,0.104890764
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-1.01776,-1.1166601,-21.601215,-7.9118786,-1.01776,-1.1166601,-0.3728407,-1.5806854677860565,-0.21432239
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-1.1372281,-1.0381944,-19.986408,-7.387277,-1.0381944,-1.1372281,-0.39333868,-1.5990860084142913,-0.23780006
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.88287765,-1.1609902,-21.269875,-7.7712474,-0.88287765,-1.1609902,-0.31914943,-1.5366481035376922,-0.15514183
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.5314686,-0.93604517,-21.137615,-7.5350432,-0.5314686,-0.93604517,-0.020287454,-1.2815209700840113,0.19096315
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.89376986,-1.1226584,-20.9034,-7.6399426,-0.89376986,-1.1226584,-0.30853236,-1.5257456082609862,-0.14196193
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-1.1531397,-1.4900258,-20.175909,-7.606358,-1.1531397,-1.4900258,-0.6143157,-1.8047158517532749,-0.49078327
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-1.4872811,-1.3417909,-20.930069,-7.9197135,-1.3417909,-1.4872811,-0.7187453,-1.896410275177936,-0.60434705
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-1.1297767,-0.5973662,-21.308998,-7.6787133,-0.5973662,-1.1297767,-0.1354025,-1.388068712987407,0.049890578
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-1.3221627,-0.64319944,-21.393845,-7.786402,-0.64319944,-1.3221627,-0.23298392,-1.4828713090114805,-0.07013142
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-0.9651904,-0.5151325,-21.556652,-7.678992,-0.5151325,-0.9651904,-0.021906137,-1.2855296063506323,0.18722314
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-1.0195475,-0.69091797,-21.08372,-7.598062,-0.69091797,-1.0195475,-0.14864624,-1.3884949403939089,0.041770995
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-0.5282817,-0.81796944,-20.756298,-7.367516,-0.5282817,-0.81796944,0.03047502,-1.2327286448499601,0.25553954
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-0.922242,-0.8916429,-20.784742,-7.5328755,-0.8916429,-0.922242,-0.21367824,-1.438631276510919,-0.029812157
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,-0.8285444,-1.0233362,-20.211937,-7.354606,-0.8285444,-1.0233362,-0.22805762,-1.453629177959352,-0.048119247
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,-1.153785,-1.0299971,-24.979738,-9.054507,-1.0299971,-1.153785,-0.3968296,-1.6025342940173843,-0.24199075
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0025.jpg,-1.7782159,-1.6499691,-23.179398,-8.869194,-1.6499691,-1.7782159,-1.0188909,-2.17651996142964,-0.9328244
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0026.jpg,-1.2742182,-1.2881682,-21.87223,-8.144872,-1.2742182,-1.2881682,-0.58802164,-1.7751771343424128,-0.45800316
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0027.jpg,-0.8086342,-1.1224397,-21.582413,-7.837829,-0.8086342,-1.1224397,-0.2601307,-1.4856190601108388,-0.08780098
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0028.jpg,-0.8927978,-1.1772541,-21.253426,-7.7744923,-0.8927978,-1.1772541,-0.33179826,-1.548108007838958,-0.16982639
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0029.jpg,-0.99842167,-1.1374707,-21.27568,-7.803858,-0.99842167,-1.1374707,-0.37238413,-1.5808228879328978,-0.2141484
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0030.jpg,-0.8320173,-1.7891123,-20.849407,-7.8235126,-0.8320173,-1.7891123,-0.50703454,-1.7440433255925445,-0.39304304
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0031.jpg,-1.0903693,-1.4671164,-19.064354,-7.2072797,-1.0903693,-1.4671164,-0.5679573,-1.7638403404814584,-0.43977535
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0032.jpg,-0.8070765,-1.0817004,-18.94484,-6.9445386,-0.8070765,-1.0817004,-0.24184352,-1.468092454990519,-0.065674424
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0033.jpg,0.1669451,-0.7603083,-18.648811,-6.414058,0.1669451,-0.7603083,0.5002974,-0.9112718916148002,0.78921974
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0034.jpg,-0.41876736,-0.8600488,-18.9761,-6.751639,-0.41876736,-0.8600488,0.07788533,-1.2005336106365072,0.30701792
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0035.jpg,0.055160165,-0.9260838,-19.469707,-6.7802105,0.055160165,-0.9260838,0.37350085,-1.0158555263443292,0.6266743
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0036.jpg,-0.7918954,-1.286935,-20.842247,-7.6403594,-0.7918954,-1.286935,-0.31594276,-1.5433787442007443,-0.15761608
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0037.jpg,-0.9134742,-0.7606377,-19.335175,-7.0030956,-0.7606377,-0.9134742,-0.14099175,-1.3763298532591328,0.054460883
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0038.jpg,-0.7774961,-0.5422466,-18.804703,-6.7081485,-0.5422466,-0.7774961,0.040177703,-1.2224344020292122,0.2686519
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0039.jpg,0.048890114,-0.6137359,-17.093239,-5.8860283,0.048890114,-0.6137359,0.46463275,-0.9060480809286562,0.77005136
