filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.41109133,-0.5942986,0.2602493,-0.24838023,0.2602493,-0.41109133,0.9211308,-0.2425186808295926,1.5950754
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.7689071,-0.23912767,-1.0986861,-0.7022403,-0.23912767,-0.7689071,0.46004322,-0.6823618301413974,0.9113296
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.6112611,0.44782856,-2.5012949,-0.8882425,0.44782856,-0.6112611,0.78369844,-0.6371668735295497,1.1882014
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.94895387,0.11418018,-3.263365,-1.3660463,0.11418018,-0.94895387,0.43590337,-0.9371010844964611,0.7200979
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-1.1384946,-0.051041096,-3.51041,-1.5666486,-0.051041096,-1.1384946,0.26269126,-1.0829281456220972,0.50189775
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.7224617,0.54247296,-3.6734748,-1.2844878,0.54247296,-0.7224617,0.8025393,-0.7172475150551706,1.1453961
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.7680678,0.6614888,-4.161177,-1.4225854,0.6614888,-0.7680678,0.8825985,-0.705409576764128,1.214179
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.64553547,0.5741662,-3.6990273,-1.2567989,0.5741662,-0.64553547,0.84362483,-0.6813648511961224,1.2047305
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.8039027,0.6247797,-3.879092,-1.3527384,0.6247797,-0.8039027,0.8484756,-0.722168109683657,1.1747162
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.64413714,0.50193787,-3.72916,-1.2904531,0.50193787,-0.64413714,0.7889335,-0.707165277205741,1.1447331
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.37347102,0.87733793,-3.6825702,-1.0595678,0.87733793,-0.37347102,1.1371884,-0.49165166531711935,1.5877132
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.7008518,0.9774884,-3.7692864,-1.1642166,0.9774884,-0.7008518,1.1559384,-0.5742338491038359,1.5258099
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.6369798,-0.16531149,0.12220733,-0.22669464,0.12220733,-0.16531149,0.9188895,-0.2206112225570862,1.612798
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-1.1828413,-0.14037105,-1.3403963,-0.88786954,-0.14037105,-1.1828413,0.36268607,-0.8362882037800621,0.73276305
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.70118934,-0.19397917,0.5014621,-0.13123548,0.5014621,-0.19397917,1.0888326,-0.12548686162411016,1.8298331
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-1.1546888,-0.13399437,-1.0287126,-0.7724652,-0.13399437,-1.0287126,0.43645808,-0.7392282530738038,0.8530004
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-1.2132683,0.07476875,-1.8994188,-1.0126394,0.07476875,-1.2132683,0.4216762,-0.882498354868162,0.74122477
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-1.5202911,-0.08400032,-2.070278,-1.2248565,-0.08400032,-1.5202911,0.23446319,-1.0625798014004808,0.49114826
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-1.6044607,-0.030063778,-1.7703843,-1.1349696,-0.030063778,-1.6044607,0.29389957,-1.002520739793715,0.57061356
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-1.2624714,0.2970586,-1.7862836,-0.9172322,0.2970586,-1.2624714,0.58580136,-0.787990311147036,0.9218911
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-1.3407949,0.423803,-2.0261972,-0.98106307,0.423803,-1.3407949,0.6529677,-0.8028446998414901,0.9591808
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-1.527219,-0.010896832,-2.00498,-1.1810321,-0.010896832,-1.527219,0.29338875,-1.0212401002989637,0.55796707
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-1.5916146,-0.19504234,-2.0514948,-1.279384,-0.19504234,-1.5916146,0.14404759,-1.126447873023876,0.38928652
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,-1.4682411,-0.47812012,-1.9162219,-1.2875277,-0.47812012,-1.4682411,-0.0025634468,-1.1929603326974307,0.25182813
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,-0.35165155,-0.77545035,-0.077848695,-0.4016502,-0.077848695,-0.35165155,0.73674583,-0.39321474039214965,1.3322724
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0025.jpg,-0.9493926,-0.607932,-1.361299,-0.9728746,-0.607932,-0.9493926,0.17208529,-0.9518027092050156,0.52546364
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0026.jpg,-1.1546708,-0.576102,-2.1939306,-1.3082346,-0.576102,-1.1546708,-0.011340022,-1.1900241927347024,0.24952286
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0027.jpg,-1.5558548,-0.47491112,-2.6217575,-1.5508412,-0.47491112,-1.5558548,-0.09913069,-1.3340958885791505,0.10159159
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0028.jpg,-1.6431575,-0.34769407,-2.649975,-1.5469422,-0.34769407,-1.6431575,-0.030112505,-1.3010439784887526,0.16562504
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0029.jpg,-1.5594354,-0.2577035,-2.8928046,-1.5699812,-0.2577035,-1.5594354,0.037777007,-1.2614631526559454,0.23465931
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0030.jpg,-1.5193881,-0.5149778,-2.784725,-1.6063637,-0.5149778,-1.5193881,-0.12998834,-1.3620249355420766,0.06517905
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0031.jpg,-1.231754,-0.46277145,-2.8070476,-1.5005244,-0.46277145,-1.231754,-0.018469602,-1.2479845875737756,0.20872784
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0032.jpg,-1.4689381,-0.71599185,-2.7592976,-1.6480757,-0.71599185,-1.4689381,-0.245628,-1.4393373464967247,-0.054082334
