filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.06199801,-0.338443,-0.06726822,-0.15590309,-0.06199801,-0.06726822,0.95077264,-0.1551337439380972,1.6918308
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.22529018,-0.24336693,-0.715695,-0.39478406,-0.22529018,-0.24336693,0.7280898,-0.38922318715275517,1.3287717
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.5118978,0.101255804,-3.4446738,-1.2851052,0.101255804,-0.5118978,0.5526383,-0.7986093779258685,0.9069139
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.5345785,0.19080707,-3.8560016,-1.3999243,0.19080707,-0.5345785,0.59734887,-0.7881137842625059,0.94754815
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.3695544,0.12839648,-2.6191618,-0.95343995,0.12839648,-0.3695544,0.6423327,-0.680246139280958,1.0567746
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.18641579,0.8062792,-2.0426,-0.47424552,0.8062792,-0.18641579,1.1628942,-0.323253958906486,1.7399383
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.41465354,0.6651659,-2.219456,-0.65631455,0.6651659,-0.41465354,0.9984421,-0.46664275281766954,1.4864702
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.24537957,0.34396943,-2.0569606,-0.65279025,0.34396943,-0.24537957,0.8419055,-0.49313441091481924,1.3469912
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.30424708,0.44360855,-1.537981,-0.46620652,0.44360855,-0.30424708,0.92060673,-0.3909483436222566,1.4817191
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.50545955,0.3975968,-1.4294959,-0.5124529,0.3975968,-0.50545955,0.8462552,-0.450751914250501,1.3722869
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.19960052,0.7083756,-1.3748817,-0.28870222,0.7083756,-0.19960052,1.132246,-0.23826849669365668,1.7761499
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,0.054946303,0.6818502,-1.1084312,-0.12387824,0.6818502,0.054946303,1.2131585,-0.0986824557854008,1.9663272
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.27754986,0.4582624,-0.2527173,-0.024001578,0.4582624,-0.2527173,1.1364375,-0.025586579766032735,1.9545709
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.61655086,0.23177585,-1.9972126,-0.79399586,0.23177585,-0.61655086,0.6608064,-0.6518058019227206,1.0830566
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.40736616,0.47804847,-1.7391242,-0.5561473,0.47804847,-0.40736616,0.89771867,-0.452562587469807,1.4148871
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.60265684,0.045838207,-1.7954077,-0.78407544,0.045838207,-0.60265684,0.5654956,-0.6817616545252285,0.99074817
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-0.5038214,0.28557035,-1.2973753,-0.5052088,0.28557035,-0.5038214,0.79208076,-0.4583086579377607,1.3244839
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-0.41056526,0.5208833,-1.3505119,-0.41339794,0.5208833,-0.41056526,0.9577769,-0.36132365604488037,1.5303793
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-0.13862967,0.66337276,-1.321086,-0.26544765,0.66337276,-0.13862967,1.1245154,-0.2194722882666318,1.7867571
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-0.21547961,0.41394767,-1.54522,-0.4489173,0.41394767,-0.21547961,0.9290875,-0.37203346293338124,1.50549
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-0.2187537,0.51051927,-1.2544656,-0.3209,0.51051927,-0.2187537,1.0133827,-0.27860864693283516,1.6448001
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-0.07509124,0.4960949,-1.344086,-0.3076941,0.4960949,-0.07509124,1.0405353,-0.2552216501624577,1.6904098
