filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.23677135,-0.02191165,0.06477134,0.09321034,0.23677135,0.06477134,1.1976709,0.092903174609276,2.11269
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.0737136,0.20768693,-2.8697448,-0.9119238,0.20768693,-0.0737136,0.7959199,-0.5652721453439216,1.2661508
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.42503405,0.23888817,-6.55876,-2.248302,0.23888817,-0.42503405,0.6549269,-0.7596479960364604,1.0148894
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.6844889,0.41129324,-5.7225866,-1.9985942,0.41129324,-0.6844889,0.7013073,-0.7847073338629211,1.0247524
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.5468679,0.53706396,-5.229646,-1.7464833,0.53706396,-0.5468679,0.8307726,-0.6885795653457486,1.1948011
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.4585998,0.37755343,-5.080304,-1.7204503,0.37755343,-0.4585998,0.7405542,-0.7130428010259247,1.1111939
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.5665464,0.34872004,-4.4753103,-1.5643789,0.34872004,-0.5665464,0.69120574,-0.7543850196980177,1.041034
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.5428681,0.44000337,-4.2810884,-1.4613177,0.44000337,-0.5428681,0.7643599,-0.7090603053238104,1.1287694
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.07660556,0.9446218,-4.088724,-1.0735693,0.9446218,-0.07660556,1.2569985,-0.381390687563258,1.7910249
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.03422022,1.2474253,-3.7835784,-0.8567911,1.2474253,-0.03422022,1.497493,-0.2811233910750781,2.0809867
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.14676231,0.9510784,-3.2458048,-0.8138296,0.9510784,-0.14676231,1.25017,-0.37474480676665234,1.7829785
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,0.05010712,1.089961,-3.3273134,-0.7290818,1.089961,0.05010712,1.4015355,-0.2743145815183279,2.007558
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,0.4702958,0.5073683,-0.06276341,0.3049669,0.5073683,0.4702958,1.435215,0.3008589364716543,2.5191703
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.36446136,0.24414769,-3.6275227,-1.2492788,0.24414769,-0.36446136,0.6919893,-0.6983880228476316,1.085288
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.3414278,0.6333792,-5.0473166,-1.5851218,0.6333792,-0.3414278,0.95595276,-0.5824552248047646,1.3776232
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.11386198,0.88053846,-4.4436603,-1.2256613,0.88053846,-0.11386198,1.1988593,-0.41921301617353035,1.7107427
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-0.09241146,1.1624953,-3.7147634,-0.88155985,1.1624953,-0.09241146,1.419244,-0.3193791869065944,1.9769607
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-0.28873962,1.0007031,-3.8569548,-1.0483304,1.0007031,-0.28873962,1.2500545,-0.43303692539154814,1.7307534
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-0.093803585,1.2746881,-4.0507655,-0.95662695,1.2746881,-0.093803585,1.5052891,-0.3019784770333508,2.0665526
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-0.14541548,0.9969561,-3.4624197,-0.8702931,0.9969561,-0.14541548,1.2826093,-0.3714523509363997,1.8139842
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-0.14428616,1.0371569,-3.3064764,-0.8045352,1.0371569,-0.14428616,1.314656,-0.35344522961631064,1.8547649
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-0.35353243,1.0574259,-2.9463449,-0.7474838,1.0574259,-0.35353243,1.2902473,-0.399033152540589,1.7833264
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-0.45142365,0.99234676,-2.7565536,-0.7385435,0.99234676,-0.45142365,1.2231249,-0.4357097273260584,1.6930852
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,-0.44417548,0.8497801,-2.5845757,-0.72632366,0.8497801,-0.44417548,1.1170785,-0.4593709092797929,1.5880289
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,-0.0005196333,0.44913015,-0.066801734,0.1272696,0.44913015,-0.0005196333,1.2532799,0.12497329830905468,2.1898043
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0025.jpg,-0.58245915,0.4116809,-3.395305,-1.1886944,0.4116809,-0.58245915,0.74260676,-0.7047191862883041,1.112521
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0026.jpg,-0.77161396,0.3730258,-4.846565,-1.7483844,0.3730258,-0.77161396,0.6534931,-0.8218488146312364,0.9608135
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0027.jpg,-0.857933,0.5011916,-4.7357507,-1.6974974,0.5011916,-0.857933,0.73404944,-0.8013503599460545,1.0324028
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0028.jpg,-0.8307004,0.64850104,-4.620736,-1.6009785,0.64850104,-0.8307004,0.8579246,-0.7386182560988108,1.1703198
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0029.jpg,-0.86487955,0.5830562,-3.9826055,-1.4214762,0.5830562,-0.86487955,0.80255955,-0.759311624430059,1.1121694
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0030.jpg,-0.9478223,0.4827598,-3.7562664,-1.4071096,0.4827598,-0.9478223,0.7087723,-0.8148725720075747,1.0010736
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0031.jpg,-0.96561676,0.3823149,-3.635728,-1.4063433,0.3823149,-0.96561676,0.62742746,-0.8538559188026315,0.91398114
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0032.jpg,-0.84410113,0.6303246,-3.622593,-1.2787899,0.6303246,-0.84410113,0.84795916,-0.7244323632991374,1.1711302
