filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.46705747,0.6709523,-0.2000614,0.0012778193,0.6709523,-0.2000614,1.2242529,-0.0037597482782646408,2.0472076
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.62282324,0.38046953,-0.21945278,-0.15393549,0.38046953,-0.21945278,1.0304608,-0.1489656294251056,1.7617664
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.64839673,0.45755616,-0.49705204,-0.22929753,0.45755616,-0.49705204,0.99746954,-0.2222180276879373,1.6714104
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.5626303,0.49553958,-0.5695276,-0.21220613,0.49553958,-0.5626303,1.0213298,-0.20646976826311703,1.7033094
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.40488493,0.7587147,-0.943125,-0.19643176,0.7587147,-0.40488493,1.1606452,-0.18521661647397225,1.8345913
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.42748237,0.9829105,-1.000399,-0.14832361,0.9829105,-0.42748237,1.3061966,-0.14521992577420606,1.987616
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.063461185,0.82238984,-0.8986503,-0.046573877,0.82238984,-0.063461185,1.2869053,-0.04239110786360156,2.0713851
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.009220004,0.62733984,-0.68255293,-0.0214777,0.62733984,-0.009220004,1.2145476,-0.01963699178351408,2.0293024
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,0.06801766,0.33165446,-0.61327577,-0.07120121,0.33165446,0.06801766,1.100354,-0.06606128175983217,1.8928838
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.1998018,0.097771585,-0.42384496,-0.17529173,0.097771585,-0.1998018,0.946288,-0.17345284814550865,1.6729586
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.48711085,0.18288264,-0.51991856,-0.27471557,0.18288264,-0.48711085,0.87947786,-0.2695681115968015,1.5401151
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.15117228,-0.12484059,-0.24399897,-0.17333728,-0.12484059,-0.15117228,0.9265679,-0.17321847869049956,1.6571311
