filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.839535,1.1304674,-0.76338196,0.4022068,1.1304674,0.839535,1.7712984,0.36700456788851,2.939902
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,0.58823633,1.6256819,-2.0904343,0.0411613,1.6256819,0.58823633,1.9468133,0.11822769524548915,2.89813
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,0.23907506,2.180803,-3.4966986,-0.3589402,2.180803,0.23907506,2.3178465,-0.01679452558199368,3.0931158
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,0.4586407,1.6295261,-3.1409602,-0.35093117,1.6295261,0.4586407,1.9060729,-0.01300638138889032,2.7366173
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,0.22497332,1.5648112,-2.8654768,-0.3585641,1.5648112,0.22497332,1.806815,-0.0841340202139268,2.546622
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.1642921,1.1878027,-3.019639,-0.6653761,1.1878027,-0.1642921,1.4296361,-0.3064922939481397,1.9875358
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.22147453,1.1175714,-3.1043484,-0.7360838,1.1175714,-0.22147453,1.3619019,-0.34838430372023466,1.8926004
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.4881843,1.070811,-3.0680816,-0.828485,1.070811,-0.4881843,1.2748027,-0.44799086944524524,1.7256675
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.2901005,1.2694986,-2.7870073,-0.60253644,1.2694986,-0.2901005,1.4745024,-0.3136577744179452,2.0097044
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.6969348,1.065522,-2.3249586,-0.6521238,1.065522,-0.6969348,1.2522631,-0.45388359788873683,1.6896963
