filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.3739273,-0.64786696,-0.40023056,-0.4740083,-0.3739273,-0.40023056,0.6319912,-0.4721539234403453,1.1921703
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.5206825,-0.41209164,-0.9516696,-0.6281479,-0.41209164,-0.5206825,0.49620387,-0.6195483813779108,0.98317564
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.6388395,0.2480568,-2.616915,-1.0025659,0.2480568,-0.6388395,0.6325822,-0.7304852318489572,1.0081538
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.6286049,0.1874133,-2.917186,-1.1194593,0.1874133,-0.6286049,0.584195,-0.7755269653260337,0.9422264
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.9264958,0.13614443,-1.2227122,-0.67102116,0.13614443,-0.9264958,0.60770726,-0.6262568519893216,1.0568976
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.3232547,0.5150212,-0.7810519,-0.19642846,0.5150212,-0.3232547,1.0492077,-0.1872669545619916,1.7438561
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.07777518,0.93496585,-0.5608841,0.09876885,0.93496585,-0.07777518,1.3969877,0.08270141314660928,2.27481
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.57210135,0.24644706,-0.8805128,-0.4020557,0.24644706,-0.57210135,0.8146478,-0.38450067155123957,1.3972752
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.013058782,0.8663441,-0.8034825,0.016600946,0.8663441,-0.013058782,1.3384147,0.013334775654093911,2.1654172
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,0.053752124,0.9307263,-0.06894769,0.3051769,0.9307263,0.053752124,1.5096064,0.28651369464926935,2.5689225
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,0.2438842,1.1440367,-0.17772979,0.403397,1.1440367,0.2438842,1.6587577,0.3705487433074697,2.7917802
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,0.374833,1.2997777,-0.18560477,0.4963353,1.2997777,0.374833,1.7840348,0.4503332108279139,2.9946616
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.016913295,1.1372466,1.5453571,0.88856345,1.5453571,1.1372466,2.1737337,0.811344127958352,3.8170285
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.63589865,1.1354172,-1.5031813,-0.33455428,1.1354172,-0.63589865,1.3517942,-0.28870463624129106,1.9004434
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.65037185,1.3192053,-1.314394,-0.21518685,1.3192053,-0.65037185,1.5109286,-0.20914884700580993,2.098297
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.17940623,1.6303167,-0.97912425,0.1572621,1.6303167,-0.17940623,1.8432282,0.08611581785035982,2.6685135
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,0.028690398,1.5887804,-1.0462235,0.19041574,1.5887804,0.028690398,1.8370737,0.13027400891906415,2.7193742
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-0.074441016,1.9751203,-0.5765328,0.44138217,1.9751203,-0.074441016,2.1630461,0.29449570573244943,3.166235
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-0.065561116,1.441453,-0.36954734,0.33544818,1.441453,-0.065561116,1.7671973,0.2695476795083105,2.7798586
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-0.25867426,1.6946502,-0.4735198,0.3208187,1.6946502,-0.25867426,1.9227324,0.21995965802943485,2.8641052
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-0.20729625,1.422944,-1.0272722,0.062791824,1.422944,-0.20729625,1.671488,0.023699120898735493,2.457551
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-0.19120568,0.9569042,-0.6717571,0.031313796,0.9569042,-0.19120568,1.3712814,0.017265312097337393,2.190676
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-0.20852411,1.3366356,-0.10191271,0.34206626,1.3366356,-0.10191271,1.7085781,0.28802413695857787,2.7454689
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,-0.62543106,0.84403205,-0.22354603,-0.0016483465,0.84403205,-0.22354603,1.2975818,-0.010392095674811808,2.1026108
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,-0.11339438,0.71123147,0.8546538,0.4841636,0.8546538,0.71123147,1.663899,0.4668269911882391,2.9045637
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0025.jpg,-0.52788275,1.2089181,-1.9686424,-0.42920232,1.2089181,-0.52788275,1.4059395,-0.31777659389232993,1.9288186
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0026.jpg,-0.20960617,1.5731006,-1.098955,0.08817979,1.5731006,-0.20960617,1.7860259,0.03460405959924784,2.5691874
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0027.jpg,-0.56369746,1.1488675,-1.9117683,-0.44219944,1.1488675,-0.56369746,1.3536518,-0.3354044348577423,1.8691292
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0028.jpg,-0.5256093,0.9263035,-1.2411779,-0.28016123,0.9263035,-0.5256093,1.2253613,-0.25185999016959215,1.8294599
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0029.jpg,0.010314584,1.7256587,-0.6854351,0.35017934,1.7256587,0.010314584,1.9643755,0.249938518588546,2.9445992
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0030.jpg,-0.28799534,1.3378036,-0.9303638,0.03981483,1.3378036,-0.28799534,1.6003649,0.004632389977920481,2.3737416
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0031.jpg,-0.16562718,1.6685255,-1.0683185,0.14485991,1.6685255,-0.16562718,1.8710771,0.07442076113993223,2.6842995
