filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.040373206,0.37238148,0.061427433,0.13114524,0.37238148,0.061427433,1.245586,0.12990811179420214,2.1877575
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.6865703,-0.18836313,-2.6503928,-1.1751088,-0.18836313,-0.6865703,0.33806854,-0.9217421176800458,0.66403335
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.19474828,0.62352085,-2.4737346,-0.681654,0.62352085,-0.19474828,1.0198562,-0.4330352549636026,1.5398978
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.5954137,0.5177392,-1.7801307,-0.6192684,0.5177392,-0.5954137,0.87470996,-0.508977661884257,1.3494749
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.26039386,0.94964135,-1.6981994,-0.3363173,0.94964135,-0.26039386,1.263715,-0.2533320618537689,1.8732572
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.25699174,1.235346,-1.1971146,-0.07292012,1.235346,-0.25699174,1.5074068,-0.0762434911219605,2.2247508
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.13114262,1.504983,-0.72454387,0.21643215,1.504983,-0.13114262,1.7691244,0.14957287420221388,2.662901
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,0.22385705,1.5475447,-1.0733916,0.23267007,1.5475447,0.22385705,1.8393831,0.18055459394548778,2.7859838
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.46661,0.9480965,-0.9475146,-0.1553427,0.9480965,-0.46661,1.2797166,-0.15291579857786386,1.9580233
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.4354132,0.43378255,-1.3772792,-0.4596366,0.43378255,-0.4354132,0.8929585,-0.40399682706421425,1.445753
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.9485763,0.26789317,-1.0715837,-0.584089,0.26789317,-0.9485763,0.71146107,-0.545325379439505,1.1929902
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.38562512,0.6748563,-0.8688725,-0.19321378,0.6748563,-0.38562512,1.1194602,-0.18337932947794422,1.802957
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,0.7441888,1.5852451,-0.27344063,0.6853311,1.5852451,0.7441888,2.0471737,0.6043021208621597,3.4387105
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.16919303,1.5111951,-1.0890942,0.08430263,1.5111951,-0.16919303,1.7427462,0.03844411318474383,2.536611
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.35496962,1.5478812,-1.286958,-0.031348784,1.5478812,-0.35496962,1.7367405,-0.06248231714616126,2.4316328
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.013826668,1.5308856,-1.6146454,-0.032528836,1.5308856,-0.013826668,1.7591498,-0.020502114850677322,2.5168252
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,0.02478218,1.4838009,-1.3180826,0.063500166,1.4838009,0.02478218,1.7408898,0.04331166036437428,2.5562344
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-0.60333896,0.6256527,-1.0725878,-0.35009137,0.6256527,-0.60333896,1.0147125,-0.32278092121539403,1.6009411
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-0.17837512,0.9879068,-0.72233534,0.02906545,0.9879068,-0.17837512,1.3882556,0.01477012685496526,2.203458
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-0.01661086,0.91530704,-0.909096,-0.0034666061,0.91530704,-0.01661086,1.3568543,-0.0038439288303803165,2.1670506
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-0.5042416,0.46359196,-0.8837018,-0.30811715,0.46359196,-0.5042416,0.9581955,-0.29162049576080695,1.5831976
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-0.03790337,1.7040019,-0.41088024,0.41840613,1.7040019,-0.03790337,1.9631562,0.3163220260046272,3.0059004
