filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.06746757,-0.813702,0.08126962,-0.22165494,0.08126962,0.06746757,0.95461607,-0.2083924024736229,1.6538795
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.13677633,-0.86345625,-0.004542697,-0.3349251,-0.004542697,-0.13677633,0.8282614,-0.3209384305468862,1.4612299
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.6194962,-0.77410746,-1.9425489,-1.1120509,-0.6194962,-0.77410746,0.13336658,-1.0272454985714101,0.4508614
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.56604004,-0.64311254,-2.4459414,-1.2183647,-0.56604004,-0.64311254,0.16557169,-1.0348578880731187,0.469451
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.5480509,-0.10367754,-1.7783729,-0.8100338,-0.10367754,-0.5480509,0.49986836,-0.7158466183244774,0.9193255
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.30667543,-0.056256086,-1.5003335,-0.6210883,-0.056256086,-0.30667543,0.6440841,-0.5576964643466168,1.1410459
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.46868888,0.010207385,-1.0721662,-0.51021594,0.010207385,-0.46868888,0.6822623,-0.48605542610249336,1.2199334
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.60388386,-0.45440283,-0.0045683496,-0.354285,-0.0045683496,-0.45440283,0.7779263,-0.3493393031475698,1.3976293
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.49752066,-0.09544256,0.2121999,-0.1269211,0.2121999,-0.09544256,1.0128372,-0.1239817170712354,1.7690108
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,0.22121501,-0.34190777,0.5705119,0.1499397,0.5705119,0.22121501,1.3156514,0.14600093573966588,2.2664979
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.35375792,-0.26451126,0.6426916,0.008140802,0.6426916,-0.26451126,1.2152741,0.002784080033184533,2.0450373
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.55261636,-0.34822837,0.765315,-0.045176566,0.765315,-0.34822837,1.2328668,-0.05124283328253976,2.0102358
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.25417763,-0.55953777,0.4102751,-0.1344801,0.4102751,-0.25417763,1.0488124,-0.13138369880781997,1.7910539
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.8240222,-0.6556479,-0.4010538,-0.62690794,-0.4010538,-0.6556479,0.48697346,-0.6224288973008261,0.97414887
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.57902414,-0.39046147,0.14941637,-0.2733564,0.14941637,-0.39046147,0.8747794,-0.2681986592232537,1.537855
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.08302903,-0.26145676,0.30441955,-0.013355414,0.30441955,-0.08302903,1.1138592,-0.01362293998138131,1.9469256
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-0.38758558,-0.778118,-0.034852915,-0.40018547,-0.034852915,-0.38758558,0.7437027,-0.3911631668836386,1.3390522
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-0.47088018,-0.8390248,0.000857953,-0.436349,0.000857953,-0.47088018,0.72146374,-0.4244423348060036,1.2960567
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-0.48646957,-1.031688,-0.016029052,-0.5113955,-0.016029052,-0.48646957,0.6705419,-0.4902904350296987,1.207705
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-0.5991102,-0.75992405,-0.1825993,-0.51387787,-0.1825993,-0.5991102,0.61524194,-0.5070065152601821,1.1531985
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-0.77753186,-0.91874135,-0.094410524,-0.59689456,-0.094410524,-0.77753186,0.5701142,-0.5804582819169498,1.0646734
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-0.36130464,-0.5818391,-0.10549456,-0.3495461,-0.10549456,-0.36130464,0.76803,-0.3463490774943726,1.3925879
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-0.7049327,-0.763234,-0.1873861,-0.551851,-0.1873861,-0.7049327,0.58189255,-0.5437397301336737,1.10093
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,-0.58160067,-0.528461,-0.076138094,-0.39539993,-0.076138094,-0.528461,0.7300588,-0.39102058626667946,1.328251
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,-0.14748245,0.5767994,-0.8460719,-0.13891833,0.5767994,-0.14748245,1.1224284,-0.12846417197534932,1.856593
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0025.jpg,-0.38209957,0.3119999,-0.7971542,-0.28908464,0.3119999,-0.38209957,0.9159671,-0.2769180263645431,1.5633323
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0026.jpg,-0.45924532,0.17423835,-0.69789356,-0.3276335,0.17423835,-0.45924532,0.8414515,-0.31881453702427753,1.4707965
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0027.jpg,-0.48627588,0.088816375,-0.8415989,-0.4130195,0.088816375,-0.48627588,0.76025105,-0.3996922014709908,1.3445837
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0028.jpg,-0.32318896,-0.028710395,-0.49136004,-0.28108647,-0.028710395,-0.32318896,0.8360903,-0.27873095151741945,1.4992442
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0029.jpg,-0.4530652,-0.36474457,-0.45489705,-0.42423558,-0.36474457,-0.4530652,0.6752703,-0.42405453448340846,1.2612889
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0030.jpg,-0.043985486,-0.20522979,-0.28808466,-0.17909998,-0.043985486,-0.20522979,0.92470574,-0.17867357364627245,1.6511359
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0031.jpg,-0.35161668,-0.3785843,-0.31721824,-0.34913978,-0.31721824,-0.35161668,0.7497882,-0.34908550701335983,1.3762908
