filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.35358536,0.16628632,0.0883593,0.20274366,0.35358536,0.16628632,1.3076451,0.202069270513065,2.3087838
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,0.011318207,-0.039719135,-1.6931607,-0.57385385,0.011318207,-0.039719135,0.7684305,-0.47787551389446487,1.3001834
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.3700528,-0.26807144,-4.189162,-1.6090952,-0.26807144,-0.3700528,0.38574526,-0.9167829271586533,0.7075752
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.56139153,0.026182264,-4.401519,-1.645576,0.026182264,-0.56139153,0.47573808,-0.8762266628456918,0.7981839
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.3514169,0.30908325,-4.327629,-1.4566542,0.30908325,-0.3514169,0.73191816,-0.6890592109031926,1.1241283
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.62974995,0.32410797,-3.96528,-1.4236407,0.32410797,-0.62974995,0.6598408,-0.7745266871015994,1.0011561
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.7316768,0.07098773,-3.4928308,-1.3845066,0.07098773,-0.7316768,0.46063757,-0.8920138315462971,0.77222335
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.7496602,-0.006379932,-3.381124,-1.3790547,-0.006379932,-0.7496602,0.40558285,-0.9243927614490606,0.7107562
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-1.0508586,-0.10659626,-2.9933608,-1.3836051,-0.10659626,-1.0508586,0.26132104,-1.0456859549420339,0.5254713
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-1.0915164,-0.122733325,-2.41335,-1.2091999,-0.122733325,-1.0915164,0.2698145,-1.0067512200586155,0.55529827
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.9336894,0.054403633,-2.0451057,-0.9747972,0.054403633,-0.9336894,0.45639768,-0.8309664434278223,0.804066
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-1.1024047,-0.27238718,-1.9677731,-1.1141883,-0.27238718,-1.1024047,0.20977351,-1.0043874752182966,0.5155095
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,0.05578929,0.12245247,-0.34180602,-0.054521423,0.12245247,0.05578929,1.0640644,-0.05349353456430994,1.871285
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.7221604,0.16717282,-2.3395255,-0.96483773,0.16717282,-0.7221604,0.56760305,-0.7591146143996841,0.9377222
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.7851865,0.15419504,-2.9680145,-1.1996686,0.15419504,-0.7851865,0.5153105,-0.8463969311503898,0.84026957
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.79293364,0.24326429,-2.6773255,-1.075665,0.24326429,-0.79293364,0.5859337,-0.7901931223378045,0.9291177
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-1.0934427,-0.044620782,-2.8559604,-1.3313413,-0.044620782,-1.0934427,0.2993055,-1.0215252572723434,0.56647426
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-1.0674655,0.29648194,-2.2323453,-1.0011096,0.29648194,-1.0674655,0.58571434,-0.8058121226461317,0.91213936
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-1.3679464,-0.18218967,-1.703948,-1.0846947,-0.18218967,-1.3679464,0.2390455,-0.9921204363741818,0.541662
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-1.2335768,-0.026520222,-1.8597144,-1.0399371,-0.026520222,-1.2335768,0.35121614,-0.9219818954943568,0.66556036
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-1.1469915,0.04023537,-1.7178777,-0.9415446,0.04023537,-1.1469915,0.4305435,-0.842158348303172,0.775583
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-1.0070403,0.47175452,-1.9509395,-0.8287417,0.47175452,-1.0070403,0.74680305,-0.6814558666319394,1.117995
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-0.89142984,0.32727203,-1.9907337,-0.8516305,0.32727203,-0.89142984,0.6595092,-0.7050365049614122,1.0388192
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,-0.7445468,0.46477905,-1.9003205,-0.7266961,0.46477905,-0.7445468,0.7957636,-0.5953422302523061,1.2220459
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,-0.36225444,0.23717055,-0.45546788,-0.19351725,0.23717055,-0.36225444,0.9547087,-0.19058595242023546,1.6649197
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0025.jpg,-1.0427622,0.063319355,-2.327844,-1.1024289,0.063319355,-1.0427622,0.4156481,-0.9030295065463698,0.7254867
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0026.jpg,-1.0883081,0.34200343,-2.635729,-1.1273446,0.34200343,-1.0883081,0.5967561,-0.8417671834176097,0.8958174
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0027.jpg,-1.2236873,0.15122506,-2.6521223,-1.2415282,0.15122506,-1.2236873,0.4238965,-0.9595898375039985,0.6916162
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0028.jpg,-1.0430145,0.1642209,-2.5070395,-1.1286111,0.1642209,-1.0430145,0.47770798,-0.8842425518941069,0.78220475
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0029.jpg,-1.2004116,-0.005818039,-2.7164257,-1.3075517,-0.005818039,-1.2004116,0.30849865,-1.0253521019665306,0.5687868
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0030.jpg,-0.90195125,0.14542195,-2.3274162,-1.0279819,0.14542195,-0.90195125,0.5067285,-0.8254580532066487,0.84471804
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0031.jpg,-0.84033114,0.33932492,-2.2976701,-0.93289214,0.33932492,-0.84033114,0.66065484,-0.7281421444195169,1.025085
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0032.jpg,-1.0129503,0.06947109,-2.4843223,-1.1426005,0.06947109,-1.0129503,0.41770267,-0.9104418107164496,0.72263736
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0033.jpg,-0.8363644,0.14621052,-2.168513,-0.95288897,0.14621052,-0.8363644,0.5336064,-0.7824094456645392,0.8943764
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0034.jpg,-0.87468565,0.38775423,-1.7555947,-0.7475087,0.38775423,-0.87468565,0.7243867,-0.6376040025552305,1.1349052
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0035.jpg,-0.9132809,0.5506327,-1.7822133,-0.71495384,0.5506327,-0.9132809,0.8345691,-0.5976546718118676,1.245904
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0036.jpg,-0.5574555,0.015006632,-0.46026018,-0.33423635,0.015006632,-0.46026018,0.79701316,-0.3298763344760761,1.4277221
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0037.jpg,-1.0535064,0.088837475,-2.151231,-1.0386333,0.088837475,-1.0535064,0.44337526,-0.871281138920635,0.7659903
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0038.jpg,-1.2004303,-0.0852516,-2.8934386,-1.3930402,-0.0852516,-1.2004303,0.24273542,-1.0763754733260278,0.491055
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0039.jpg,-0.92489827,0.29101685,-2.7680576,-1.1339797,0.29101685,-0.92489827,0.5861981,-0.823158496596741,0.9041654
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0040.jpg,-0.8317308,0.28126332,-2.8924782,-1.1476486,0.28126332,-0.8317308,0.5963809,-0.8068885444157409,0.92495894
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0041.jpg,-0.9002154,0.37515208,-2.514302,-1.0131217,0.37515208,-0.9002154,0.6640346,-0.7590292964227492,1.0052699
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0042.jpg,-1.180145,0.4726201,-2.47085,-1.0594583,0.4726201,-1.180145,0.69111466,-0.8017453034215665,0.9902825
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0043.jpg,-1.2196101,0.33664343,-2.5723588,-1.1517752,0.33664343,-1.2196101,0.5720751,-0.8755237845900646,0.8529413
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0044.jpg,-1.2165751,0.48492435,-2.3454497,-1.0257002,0.48492435,-1.2165751,0.7011646,-0.7925287634565328,1.0033042
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0045.jpg,-0.83237374,0.8842709,-2.598653,-0.8489186,0.8842709,-0.83237374,1.0752097,-0.5752555981355465,1.4526994
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0046.jpg,-1.0683326,0.54812896,-2.4522407,-0.99081475,0.54812896,-1.0683326,0.7699667,-0.7404815137592378,1.0932007
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0047.jpg,-0.851542,0.95318866,-2.428911,-0.77575475,0.95318866,-0.851542,1.134255,-0.543874823193833,1.5216196
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0048.jpg,-0.15253335,0.21624371,-0.7174381,-0.21790926,0.21624371,-0.15253335,0.9508606,-0.20909297681453598,1.648388
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0049.jpg,-0.8433594,0.30731228,-2.6232994,-1.0531155,0.30731228,-0.8433594,0.6219686,-0.7772931587706706,0.96317077
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0050.jpg,-0.96184695,0.5039736,-3.519541,-1.3258048,0.5039736,-0.96184695,0.7261394,-0.8022043407704097,1.0220128
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0051.jpg,-0.97941303,0.38598028,-3.316112,-1.3031816,0.38598028,-0.97941303,0.6328029,-0.8419931973110544,0.9252019
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0052.jpg,-0.97849786,0.2578152,-3.0735621,-1.2647482,0.2578152,-0.97849786,0.5401306,-0.8768383653347274,0.833951
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0053.jpg,-0.93610007,0.8489373,-2.932864,-1.0066756,0.8489373,-0.93610007,1.0233715,-0.6446542758906562,1.3592337
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0054.jpg,-0.9433751,0.35796335,-2.9444258,-1.1766125,0.35796335,-0.9433751,0.62719816,-0.8176831921443362,0.937786
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0055.jpg,-0.998046,0.29553244,-2.939275,-1.2139295,0.29553244,-0.998046,0.56834596,-0.8585586530415046,0.866043
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0056.jpg,-1.0130669,0.60059834,-3.0428877,-1.1517854,0.60059834,-1.0130669,0.8037981,-0.7572992470896573,1.1091832
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0057.jpg,-0.96934116,0.945205,-2.6008487,-0.87499493,0.945205,-0.96934116,1.1075338,-0.5982310538988906,1.4573578
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0058.jpg,-1.1982288,0.6910744,-2.5609772,-1.0227106,0.6910744,-1.1982288,0.86492,-0.7389691115311854,1.1634544
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0059.jpg,-0.94615895,0.62367713,-2.449785,-0.92408895,0.62367713,-0.94615895,0.8502867,-0.6779356966885912,1.2004874
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0060.jpg,-0.24169952,0.5096942,-0.5175995,-0.08320161,0.5096942,-0.24169952,1.113837,-0.08269231532822363,1.8859466
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0061.jpg,-0.93742424,0.26547322,-2.7548215,-1.1422576,0.26547322,-0.93742424,0.56491804,-0.8358681919927122,0.8797871
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0062.jpg,-0.89577657,0.65660787,-3.0399282,-1.0930322,0.65660787,-0.89577657,0.86893463,-0.7020532131453188,1.2002928
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0063.jpg,-0.8555637,0.9000145,-3.097936,-1.0178283,0.9000145,-0.8555637,1.0749426,-0.6155070651411473,1.4237573
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0064.jpg,-0.9084374,0.9384773,-3.1803946,-1.0501183,0.9384773,-0.9084374,1.0988821,-0.6248731010045905,1.4344069
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0065.jpg,-1.1828948,0.5413207,-2.8434489,-1.1616744,0.5413207,-1.1828948,0.73375624,-0.81312867333762,1.014466
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0066.jpg,-1.1186078,0.5548458,-2.87448,-1.1460806,0.5548458,-1.1186078,0.7537023,-0.7924037285510401,1.0447859
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0067.jpg,-1.0140467,0.6694839,-2.90712,-1.0838943,0.6694839,-1.0140467,0.86314726,-0.7242415307625523,1.1769235
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0068.jpg,-1.1124201,0.65613556,-2.781018,-1.0791008,0.65613556,-1.1124201,0.84073395,-0.747390616382783,1.1412863
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0069.jpg,-0.9400871,0.62128365,-2.7564573,-1.0250869,0.62128365,-0.9400871,0.83959365,-0.7065027029530689,1.1729944
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0070.jpg,-0.84297204,0.589249,-2.584362,-0.9460284,0.589249,-0.84297204,0.8366013,-0.6718417539485488,1.1973783
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0071.jpg,-0.8076605,0.6136782,-2.7996662,-0.99788284,0.6136782,-0.8076605,0.85609204,-0.6714587068691686,1.2140849
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0072.jpg,-0.18196386,1.0581217,-0.51792777,0.119410016,1.0581217,-0.18196386,1.4610168,0.09380535003692014,2.3375435
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0073.jpg,-1.0974474,0.6414422,-2.4251845,-0.9603966,0.6414422,-1.0974474,0.8421712,-0.7133605819880713,1.1659001
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0074.jpg,-1.0919311,0.44072238,-2.760234,-1.1371475,0.44072238,-1.0919311,0.66919976,-0.8170084137961745,0.9657048
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0075.jpg,-1.020895,0.49880323,-2.980591,-1.1675609,0.49880323,-1.020895,0.72163,-0.791808187270223,1.0235515
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0076.jpg,-1.0916258,0.4037051,-2.8141515,-1.1673574,0.4037051,-1.0916258,0.63815653,-0.8354939298740287,0.93044746
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0077.jpg,-1.3068554,0.23451331,-2.7066329,-1.2596583,0.23451331,-1.3068554,0.47108078,-0.954474342076195,0.7271875
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0078.jpg,-1.4635985,0.28753164,-2.4898994,-1.2219888,0.28753164,-1.4635985,0.4992305,-0.9512863302668819,0.7472807
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0079.jpg,-1.3742733,0.20630786,-2.528376,-1.2321138,0.20630786,-1.3742733,0.44593075,-0.9656957574289118,0.70112324
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0080.jpg,-1.2479157,0.43283805,-2.304289,-1.0397888,0.43283805,-1.2479157,0.65677303,-0.8151527628318103,0.95470744
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0081.jpg,-0.8178284,0.7382835,-2.3098485,-0.79646444,0.7382835,-0.8178284,0.96812624,-0.5852799043401581,1.3609169
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0082.jpg,-0.8949697,0.76479936,-2.2059362,-0.7787022,0.76479936,-0.8949697,0.9810782,-0.5873943746408048,1.3670214
