filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.1287008,-0.6860194,-0.3450437,-0.38658798,-0.1287008,-0.3450437,0.73764384,-0.3813926435941105,1.341982
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.55030036,-0.8437871,-1.6648933,-1.0196602,-0.55030036,-0.8437871,0.17903799,-0.9683329597485733,0.5197273
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.9154095,-0.82203805,-3.5335367,-1.7569947,-0.82203805,-0.9154095,-0.14030975,-1.3459531372973195,0.07206243
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-1.0476549,-0.8093866,-3.959413,-1.9388181,-0.8093866,-1.0476549,-0.20461053,-1.4148424193040765,-0.010800362
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.93983597,-0.59369695,-2.3338425,-1.2891251,-0.59369695,-0.93983597,0.03912103,-1.1434196856528853,0.31333292
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.69012564,-0.4663984,-1.8956456,-1.0173899,-0.4663984,-0.69012564,0.24607202,-0.9278615843372514,0.5935429
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.62843096,-0.56774163,-1.717495,-0.9712226,-0.56774163,-0.62843096,0.2466628,-0.908666151171335,0.60643476
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.5118405,-0.21189025,-1.9245797,-0.88277024,-0.21189025,-0.5118405,0.44107792,-0.7701520161214862,0.83968467
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.26634145,0.027666837,-1.7622312,-0.6669686,0.027666837,-0.26634145,0.675946,-0.5649150579373201,1.1621428
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.30056584,-0.14610723,-1.9870634,-0.8112455,-0.14610723,-0.30056584,0.5547823,-0.6788934451288202,0.98916614
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.8114337,-0.72530025,-1.7694422,-1.1020588,-0.72530025,-0.8114337,0.09424406,-1.0469672147361253,0.41130912
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.5596494,-0.35835043,-1.9615034,-0.9598344,-0.35835043,-0.5596494,0.34421673,-0.850010375313967,0.71540695
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.8975174,-0.81361985,-0.5299191,-0.7470188,-0.5299191,-0.81361985,0.36428434,-0.7427391672035653,0.80080515
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.7051133,-0.29431745,-0.9946988,-0.66470987,-0.29431745,-0.7051133,0.47556785,-0.6520078868974097,0.9444536
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-1.1301242,-0.5916687,-0.928528,-0.8834403,-0.5916687,-0.928528,0.2402218,-0.873445454347744,0.6244397
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.7444887,-0.14192516,-1.2252802,-0.703898,-0.14192516,-0.7444887,0.49246132,-0.6728005275052484,0.94149435
