filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.079401135,-0.66759616,-0.21282333,-0.26700613,0.079401135,-0.21282333,0.87708306,-0.26030090479188606,1.5470905
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.31311083,0.39959475,-1.2104551,-0.37465703,0.39959475,-0.31311083,0.92443776,-0.3356955025333912,1.5256608
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.20222312,0.87189853,-2.0291624,-0.45316234,0.87189853,-0.20222312,1.2059125,-0.30783305373904035,1.7870694
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.0070296526,1.1145744,-1.8616031,-0.2513528,1.1145744,-0.0070296526,1.4342959,-0.15264248727333996,2.1189225
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.06594312,1.0305786,-1.6825523,-0.23930562,1.0305786,-0.06594312,1.3673077,-0.1639581905000561,2.0452926
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.1952855,0.8128967,-1.6058909,-0.32942656,0.8128967,-0.1952855,1.187154,-0.2530489469665923,1.8118956
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.06178403,1.0714622,-1.7355403,-0.24195404,1.0714622,-0.06178403,1.3952631,-0.16126317427054648,2.0725615
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,0.07069093,0.8940797,-1.5690916,-0.20144032,0.8940797,0.07069093,1.3154877,-0.13387607254890643,2.0320666
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,0.11038399,0.691211,-1.5449767,-0.24779391,0.691211,0.11038399,1.201817,-0.17428358234469887,1.9013269
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.14350748,0.4854338,-0.87975043,-0.17927472,0.4854338,-0.14350748,1.0668052,-0.16511499355370396,1.7802463
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,0.053061962,0.82851565,-1.056405,-0.058275778,0.82851565,0.053061962,1.3061998,-0.04360637044655091,2.0930102
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.29836172,0.56732833,-1.1460508,-0.2923614,0.56732833,-0.29836172,1.0379672,-0.2610515527200288,1.6760821
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,0.41470337,-0.24861977,-0.2804675,-0.03812797,0.41470337,-0.24861977,1.1148887,-0.03904834053461792,1.924923
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.3210764,0.6664548,-1.2750024,-0.30987465,0.6664548,-0.3210764,1.0825235,-0.2689095656081337,1.7058704
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.13010585,0.75847375,-1.3517593,-0.24113047,0.75847375,-0.13010585,1.1853409,-0.1951173338854999,1.858043
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.37956983,0.5433346,-1.3243364,-0.38685718,0.5433346,-0.37956983,0.98278,-0.3379587479599654,1.5692482
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-0.32607,0.66088307,-1.0739577,-0.24638154,0.66088307,-0.32607,1.0985823,-0.22317898503879818,1.754977
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-0.21750563,0.63789296,-0.75881296,-0.11280855,0.63789296,-0.21750563,1.152227,-0.1080809531807545,1.8966413
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-0.44032198,0.34957096,-0.7236525,-0.27146783,0.34957096,-0.44032198,0.93502045,-0.2617957322205676,1.5899651
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,0.39573133,1.0511887,-0.80139184,0.21517606,1.0511887,0.39573133,1.5676205,0.19850612703470316,2.5574229
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,0.039461374,0.73597157,-0.61860085,0.052277368,0.73597157,0.039461374,1.2992258,0.04811347036747027,2.1624842
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-0.2176531,0.75743854,-0.62937856,-0.02986437,0.75743854,-0.2176531,1.2441931,-0.034337712974791934,2.0367143
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,0.16622865,1.0915385,-0.98709863,0.09022286,1.0915385,0.16622865,1.5112413,0.08220439533124746,2.3897614
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,0.3002596,0.8324287,-0.93564034,0.06568265,0.8324287,0.3002596,1.3966008,0.07090429730255876,2.2818618
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,-0.21091795,0.9220524,-0.08287327,0.20942038,0.9220524,-0.08287327,1.4456838,0.19019626410866863,2.417279
