filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.10364461,-0.9411645,-0.37385514,-0.47288808,-0.10364461,-0.37385514,0.68299353,-0.4579916488308501,1.2419599
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.14109242,-0.5160078,-0.9318391,-0.52964646,-0.14109242,-0.5160078,0.6201121,-0.5163431641308962,1.1501641
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.28281462,-0.14516765,-3.347287,-1.2584231,-0.14516765,-0.28281462,0.5030251,-0.803987294179924,0.86937106
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.27626365,-0.16342843,-3.5444179,-1.3280367,-0.16342843,-0.27626365,0.49269766,-0.8178226329577518,0.85271716
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.6970455,-1.2630229,-0.82766294,-0.9292438,-0.6970455,-0.82766294,0.19714612,-0.9164244730335172,0.566233
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.58935386,-1.178061,-0.8414786,-0.8696311,-0.58935386,-0.8414786,0.2574548,-0.857784057456044,0.6470245
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,0.0031331778,-0.5459384,-0.92018443,-0.48766318,0.0031331778,-0.5459384,0.6835421,-0.4718844808560454,1.2308255
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,0.2998489,0.16773924,-1.2642804,-0.26556408,0.2998489,0.16773924,1.0348648,-0.21889610121890746,1.7186344
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,0.1043818,-0.4095452,-1.2319008,-0.51235473,0.1043818,-0.4095452,0.7254759,-0.47409581466945455,1.2627877
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.44262224,-0.8145772,-1.0054675,-0.7542224,-0.44262224,-0.8145772,0.3722872,-0.7447481664881653,0.80496097
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,0.09944141,-0.34138545,-1.1267048,-0.4562163,0.09944141,-0.34138545,0.7605432,-0.4262275396263243,1.3263689
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.03899163,-0.20883447,-1.1229416,-0.45692256,-0.03899163,-0.20883447,0.741275,-0.42815670363731007,1.3110067
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.609342,-0.5127005,-0.6748806,-0.59897435,-0.5127005,-0.609342,0.50186664,-0.5983339569729259,1.002486
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.58553255,-0.743016,-0.8294727,-0.7193404,-0.58553255,-0.743016,0.38442236,-0.7176044564736961,0.8327495
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.26793075,0.2497085,-0.99837923,-0.33886716,0.2497085,-0.26793075,0.8825636,-0.316235882549589,1.5075642
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.5222378,-0.80581135,-1.0026582,-0.7769025,-0.5222378,-0.80581135,0.34133166,-0.7698541331008149,0.7657418
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-0.38367438,-0.68121123,-0.6315713,-0.56548566,-0.38367438,-0.6315713,0.54180825,-0.5632513748698285,1.0573024
