filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.4376345,-1.4219612,-0.2604218,-0.7066725,-0.2604218,-0.4376345,0.5053277,-0.6604449048253662,0.96194285
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.46168095,-1.3368818,-0.26938897,-0.6893172,-0.26938897,-0.46168095,0.5048475,-0.6519250237770859,0.96726596
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.5015703,-0.75920403,-0.8782552,-0.71300983,-0.5015703,-0.75920403,0.39818865,-0.7088932335571219,0.84862167
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.55418277,-0.78853565,-0.8938544,-0.7455242,-0.55418277,-0.78853565,0.3633418,-0.7420124906776415,0.8006763
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.5668235,-0.031818807,-2.1536171,-0.91741985,-0.031818807,-0.5668235,0.5020293,-0.7568222104625916,0.8935074
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,0.027387142,0.3357819,-1.8340269,-0.49028596,0.3357819,0.027387142,0.95033205,-0.3670376718156446,1.5351242
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.107907414,0.44786784,-1.7910243,-0.48368797,0.44786784,-0.107907414,0.96678305,-0.36930253378629174,1.5431771
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.25083292,0.0529823,-1.5572851,-0.5850452,0.0529823,-0.25083292,0.7145519,-0.5109713822587397,1.2304535
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.44237202,0.10546264,-1.1115664,-0.48282528,0.10546264,-0.44237202,0.7337028,-0.4541884926172323,1.2833571
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.4411816,-0.012990892,-1.1439112,-0.5326946,-0.012990892,-0.4411816,0.6672854,-0.503983806377143,1.1956133
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.31384182,0.047618866,-0.8308852,-0.36570272,0.047618866,-0.31384182,0.79528344,-0.3535882880388923,1.4086413
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.28953815,0.10969582,-0.5101732,-0.23000519,0.10969582,-0.28953815,0.9021673,-0.226744622151829,1.5935867
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.4677432,-0.9226835,-0.028099408,-0.472842,-0.028099408,-0.4677432,0.69122386,-0.45778028779245233,1.2478057
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.75354266,-0.5811863,-1.705135,-1.013288,-0.5811863,-0.75354266,0.19200647,-0.9568875976541033,0.5364566
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.7039323,-0.17552733,-1.8074776,-0.8956458,-0.17552733,-0.7039323,0.40394282,-0.8030588726462864,0.7882862
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.70755774,-0.26306233,-1.6788466,-0.8831555,-0.26306233,-0.70755774,0.37027267,-0.8126189047056274,0.7575558
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-0.25109768,0.12739256,-1.1516427,-0.42511594,0.12739256,-0.25109768,0.8019686,-0.39222172386498544,1.3857663
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-0.47141224,-0.15782565,-1.0458981,-0.55837864,-0.15782565,-0.47141224,0.60403997,-0.5394868995565683,1.121401
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-0.35483283,-0.19462301,-0.696658,-0.41537127,-0.19462301,-0.35483283,0.70442504,-0.4106595373191523,1.293936
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-0.1749121,0.042314976,-0.6812731,-0.27129006,0.042314976,-0.1749121,0.8707603,-0.2642775081546803,1.539081
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-0.34639633,0.1880618,-0.83841646,-0.33225033,0.1880618,-0.34639633,0.8529397,-0.3186665077986047,1.4808859
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-0.50339025,-0.27029055,-0.792151,-0.5219439,-0.27029055,-0.50339025,0.59911406,-0.5161098906937598,1.1346523
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-0.6322261,-0.14032942,-0.65520906,-0.47592154,-0.14032942,-0.6322261,0.6522277,-0.4700719868730892,1.2086036
