filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.59420455,-1.211126,-0.34171483,-0.7156818,-0.34171483,-0.59420455,0.4449512,-0.6922989461411986,0.8942633
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.6044122,-0.60771966,-0.8119768,-0.6747029,-0.6044122,-0.60771966,0.4285084,-0.6731377215533652,0.89568615
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.97059095,-0.41577354,-1.6987051,-1.0283566,-0.41577354,-0.97059095,0.20016876,-0.9661832122487786,0.5349223
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.9605645,-0.43288335,-1.9429592,-1.1121358,-0.43288335,-0.9605645,0.16092113,-1.0192400724609953,0.47383425
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-1.022572,0.10345128,-4.507969,-1.8090299,0.10345128,-1.022572,0.3918267,-1.00944216365317,0.64139736
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.9267307,0.44241282,-3.6857085,-1.3900088,0.44241282,-0.9267307,0.6817744,-0.8206328192102452,0.97754204
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.49539027,0.67871046,-3.6599426,-1.1588742,0.67871046,-0.49539027,0.9579704,-0.5939840401003857,1.3622378
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.1338898,1.0221033,-3.2780664,-0.7966177,1.0221033,-0.1338898,1.3060116,-0.35255219186149445,1.8487064
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.18616581,0.98762965,-2.7372966,-0.64527756,0.98762965,-0.18616581,1.2752912,-0.34605242607661024,1.8213875
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,0.0023829937,1.3442247,-2.5520656,-0.40181932,1.3442247,0.0023829937,1.5923972,-0.1790534650233132,2.2445726
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.33548367,0.953356,-2.2857566,-0.55596143,0.953356,-0.33548367,1.2270322,-0.3625792697525827,1.7563516
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.14243436,1.1338428,-2.1334803,-0.3806906,1.1338428,-0.14243436,1.409338,-0.23185457747928095,2.0252683
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.45410648,-0.30215248,-0.4265853,-0.39428142,-0.30215248,-0.4265853,0.7065443,-0.3938697440247727,1.3082825
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.62633455,0.21570405,-2.7581484,-1.0562596,0.21570405,-0.62633455,0.6090543,-0.7511870102366167,0.9770271
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.5393132,0.46660492,-3.6301026,-1.2342703,0.46660492,-0.5393132,0.79037976,-0.6800418510541104,1.1682935
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.19338977,1.0266637,-2.893788,-0.6868381,1.0266637,-0.19338977,1.3005357,-0.34947020559814335,1.8405002
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,0.29843104,1.333023,-2.7642395,-0.3775952,1.333023,0.29843104,1.6492848,-0.10050235464507751,2.3943117
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-0.11531311,1.3135005,-2.3412912,-0.3810346,1.3135005,-0.11531311,1.5489361,-0.20462769241989287,2.1728082
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-0.20248109,1.2564185,-2.2294848,-0.39184913,1.2564185,-0.20248109,1.4900018,-0.23427266258978574,2.0894496
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-0.2601272,1.4182765,-2.0959127,-0.31258777,1.4182765,-0.2601272,1.6142081,-0.20081185321524264,2.219427
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-0.2767452,1.410292,-1.9758614,-0.28077152,1.410292,-0.2767452,1.6082455,-0.1914835911331335,2.2197
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-0.0731169,1.3513486,-1.9250879,-0.21561873,1.3513486,-0.0731169,1.5969577,-0.12901301741235516,2.2773652
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-0.041248262,1.4822205,-2.0061164,-0.18838136,1.4822205,-0.041248262,1.7041683,-0.10254397867393594,2.3989108
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,0.022272885,1.4674973,-2.0184803,-0.1762367,1.4674973,0.022272885,1.7036101,-0.08602510558321375,2.418715
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,-0.22264433,0.06824225,-0.40137902,-0.18526037,0.06824225,-0.22264433,0.9323296,-0.18371134135592493,1.6531539
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0025.jpg,-0.7272079,0.33281812,-2.3645952,-0.9196617,0.33281812,-0.7272079,0.67911786,-0.7019120077652028,1.0599084
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0026.jpg,-0.80619144,0.3633702,-2.5162308,-0.9863507,0.3633702,-0.80619144,0.6757401,-0.7334916743796644,1.0338228
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0027.jpg,-0.42945817,0.4914554,-2.250291,-0.72943133,0.4914554,-0.42945817,0.8716798,-0.5321748554280816,1.337056
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0028.jpg,-0.36405307,0.48164174,-2.0509245,-0.6444453,0.48164174,-0.36405307,0.8928994,-0.48661591357160977,1.3885942
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0029.jpg,-0.027246594,0.9102138,-1.9773151,-0.3647826,0.9102138,-0.027246594,1.2799377,-0.23056524642147724,1.9210261
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0030.jpg,-0.11512685,1.0947652,-1.8976359,-0.3059992,1.0947652,-0.11512685,1.3936812,-0.1994528089835762,2.0378544
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0031.jpg,-0.15432048,1.0528464,-1.8791289,-0.32686767,1.0528464,-0.15432048,1.3546791,-0.2204805553873117,1.984463
