filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.75331634,-0.75278735,-0.077489205,-0.52786434,-0.077489205,-0.75278735,0.6244889,-0.5165886931499,1.1524458
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-1.3553407,-0.7852201,-2.3866036,-1.5090548,-0.7852201,-1.3553407,-0.2158947,-1.3813132633438212,-0.00014472008
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-1.4030412,-0.53249353,-3.7319891,-1.8891746,-0.53249353,-1.4030412,-0.15439624,-1.4058788375494962,0.024382114
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-1.0985955,-0.22618774,-3.535343,-1.620042,-0.22618774,-1.0985955,0.14846829,-1.1489929236826815,0.3829676
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-1.0666621,-0.078461975,-2.875936,-1.3403534,-0.078461975,-1.0666621,0.2814547,-1.0290775161121761,0.54967064
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.8788575,0.04773724,-2.3753746,-1.0688316,0.04773724,-0.8788575,0.44284546,-0.8625563571207642,0.7744173
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.53843725,0.21456054,-2.177274,-0.83371687,0.21456054,-0.53843725,0.6607928,-0.6576598771515547,1.0812259
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.45659268,0.34030005,-2.0472057,-0.72116613,0.34030005,-0.45659268,0.7737602,-0.5661270043762467,1.2343779
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.37570935,0.7162833,-1.9037265,-0.5210509,0.7162833,-0.37570935,1.0587018,-0.3934829214925869,1.5902951
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.97691953,0.20794126,-1.5685136,-0.779164,0.20794126,-0.97691953,0.59661674,-0.696553173195325,0.9973078
