filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.6692076,1.5191462,0.83166873,1.0066742,1.5191462,0.83166873,2.1768134,0.9751693911680035,3.9742494
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,0.75018406,1.7165382,0.9329536,1.1332253,1.7165382,0.9329536,2.324799,1.0889917203560107,4.269586
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,0.5546496,1.5034115,-0.33407524,0.57466197,1.5034115,0.5546496,1.9393653,0.5044958577600461,3.2132034
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,0.5645962,1.6272807,-0.52582043,0.55535215,1.6272807,0.5645962,2.006847,0.46810351619260226,3.2477033
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,0.09046996,1.9058259,-1.1238221,0.29082456,1.9058259,0.09046996,2.0973654,0.1851331295182893,3.017538
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,0.95854986,2.30179,-0.55872434,0.90053844,2.30179,0.95854986,2.578086,0.6867028165798934,4.1164403
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,0.5159749,1.8400755,0.2005494,0.8522,1.8400755,0.5159749,2.21859,0.7524452803253461,3.7466338
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,0.834015,1.5948465,-0.1440555,0.761602,1.5948465,0.834015,2.0913649,0.6819903279011892,3.5702596
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,0.8224622,1.8249636,-0.1279821,0.8398145,1.8249636,0.8224622,2.2362888,0.7293193116452363,3.7694907
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,1.2225071,2.3118248,-0.0043185577,1.1766711,2.3118248,1.2225071,2.6730587,0.979919153362445,4.567584
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,1.4041649,1.8458765,0.830384,1.3601418,1.8458765,1.4041649,2.5415998,1.3107629922940727,4.800202
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,1.0567379,1.3377882,0.61677533,1.0037671,1.3377882,1.0567379,2.144822,0.983956190054305,3.9552557
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,0.6669723,1.5283248,0.60510767,0.93346834,1.5283248,0.6669723,2.1270676,0.8944288928680768,3.8250756
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,0.10792208,2.0234063,0.67063284,0.9339871,2.0234063,0.67063284,2.3640077,0.8029758048185263,3.9609292
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,0.5810132,1.8484051,1.6705252,1.3666478,1.8484051,1.6705252,2.5991642,1.2790928810601772,4.85509
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,0.23185086,2.2498844,1.209469,1.2304014,2.2498844,1.209469,2.6461234,1.0678264759683158,4.626707
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,0.29777586,1.755996,1.2533002,1.1023574,1.755996,1.2533002,2.364428,1.0192455004280756,4.258869
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,0.3611592,2.0017393,1.1181519,1.1603501,2.0017393,1.1181519,2.476211,1.0528166979898708,4.407274
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,0.27073038,1.9936905,2.4071589,1.5571933,2.4071589,1.9936905,2.983451,1.314462668365192,5.4481254
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,0.8722917,2.5366879,1.6317173,1.6802322,2.5366879,1.6317173,3.0028458,1.5352084802242487,5.6411924
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,1.1740426,3.1792872,1.0132895,1.7888731,3.1792872,1.1740426,3.401841,1.5109046974958522,5.983932
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,0.6707889,2.2070346,1.6304809,1.502768,2.2070346,1.6304809,2.7819717,1.383785109054477,5.199
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,0.7172303,1.8235455,1.9809488,1.5072416,1.9809488,1.8235455,2.7403333,1.410998389155354,5.1925735
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,0.6582149,1.9537535,1.9805683,1.5308456,1.9805683,1.9537535,2.787066,1.4145680528892952,5.2664523
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,0.81236184,3.3335295,2.140927,2.095606,3.3335295,2.140927,3.65836,1.742443508016506,6.7991695
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0025.jpg,0.47385907,2.6340969,1.6314923,1.579816,2.6340969,1.6314923,3.027638,1.356753722579743,5.4672647
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0026.jpg,0.485209,2.547242,1.4324235,1.4882914,2.547242,1.4324235,2.9223647,1.2923693990327243,5.2286844
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0027.jpg,0.2696855,2.151137,1.8116264,1.4108163,2.151137,1.8116264,2.7741232,1.2317018378186453,5.0548615
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0028.jpg,0.31449783,2.122749,1.4247133,1.28732,2.122749,1.4247133,2.6304712,1.1474846918665385,4.7300234
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0029.jpg,0.17796981,2.1264853,1.4516628,1.2520393,2.1264853,1.4516628,2.62831,1.0952026401663735,4.6780515
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0030.jpg,0.2345177,1.946955,1.6312492,1.2709073,1.946955,1.6312492,2.593901,1.134159369823685,4.698522
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0031.jpg,0.16392767,2.1693003,1.639202,1.3241434,2.1693003,1.639202,2.7134585,1.1449744993164601,4.864896
