filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.5182053,1.0639522,0.18997718,0.59071153,1.0639522,0.5182053,1.7554471,0.5717854179437554,3.0941856
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.37926823,0.9449376,-1.5756799,-0.33667016,0.9449376,-0.37926823,1.2423899,-0.27124078471863833,1.834578
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.67130876,0.7348472,-3.4795716,-1.1386777,0.7348472,-0.67130876,0.9658513,-0.6278847609117563,1.3364428
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.5600749,0.9590583,-3.8163893,-1.1391354,0.9590583,-0.5600749,1.1639041,-0.5350828473688247,1.56768
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-0.5526182,0.8210192,-3.3792527,-1.0369506,0.8210192,-0.5526182,1.0585988,-0.5570946994812689,1.4659859
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-0.7527487,0.7462565,-3.2307923,-1.0790949,0.7462565,-0.7527487,0.9630544,-0.6387192364588377,1.3229469
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-0.67831445,0.7810092,-2.923237,-0.9401808,0.7810092,-0.67831445,1.0097468,-0.584705172286593,1.4005194
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.58073384,0.82532465,-2.6160793,-0.7904962,0.82532465,-0.58073384,1.0699378,-0.5147530562114684,1.5026017
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.3795095,0.7156575,-2.1991384,-0.6209968,0.7156575,-0.3795095,1.0440247,-0.4365036957198286,1.5471591
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,0.12288833,1.1239974,-1.5060359,-0.08638338,1.1239974,0.12288833,1.4883264,-0.0440873278040641,2.2632337
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,0.06390023,1.3196385,-1.5829259,-0.0664624,1.3196385,0.06390023,1.6121199,-0.03270596472606602,2.3803883
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.4013983,1.0662172,-1.3900411,-0.24174075,1.0662172,-0.4013983,1.3409884,-0.20841173384639755,1.9658912
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,0.2389108,1.3833406,0.21675742,0.61300296,1.3833406,0.2389108,1.8718191,0.5651793871181217,3.193994
