filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.7602326,-1.78378,-0.07624564,-0.87341934,-0.07624564,-0.7602326,0.44606188,-0.7793491296902071,0.8339455
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-1.1463331,-1.2101154,-2.6060317,-1.6541601,-1.1463331,-1.2101154,-0.3713684,-1.5172706335847044,-0.17791188
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-1.3409078,-0.8529301,-2.6298907,-1.6079096,-0.8529301,-1.3409078,-0.27462262,-1.4426225790722644,-0.07368678
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-1.270693,-0.42229673,-2.4791372,-1.3907089,-0.42229673,-1.270693,0.019794881,-1.2037249918750403,0.2607063
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-1.2944889,-0.5822359,-2.0154977,-1.2974075,-0.5822359,-1.2944889,-0.034653723,-1.2062464957616201,0.2234549
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-1.0412751,-0.5205107,-1.8370129,-1.1329329,-0.5205107,-1.0412751,0.10121429,-1.0615470660555355,0.4058475
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-1.0398318,-0.5717956,-1.6975678,-1.103065,-0.5717956,-1.0398318,0.09635824,-1.051540304539933,0.40904403
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-0.94451374,-0.59589815,-1.5869137,-1.0424418,-0.59589815,-0.94451374,0.13496089,-1.0029410547119573,0.46680418
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-1.006689,-0.8237794,-1.3469783,-1.0591489,-0.8237794,-1.006689,0.062243998,-1.0477795549664346,0.3889044
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,0.43832457,0.46586892,-1.3357903,-0.14386559,0.46586892,0.43832457,1.2256725,-0.09277533652424774,1.995034
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.22521222,0.0062963963,-1.0919107,-0.4369422,0.0062963963,-0.22521222,0.76091695,-0.40995825598008706,1.3399423
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.44927678,-0.13144529,-1.0532272,-0.5446498,-0.13144529,-0.44927678,0.62257826,-0.5246102493362523,1.1463852
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.36384213,-1.4415145,-0.028623614,-0.61132675,-0.028623614,-0.36384213,0.6436167,-0.5548994525430011,1.1419358
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.6137943,-1.125119,-1.4117862,-1.0502332,-0.6137943,-1.125119,0.10401279,-1.0249214096104866,0.4312473
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-0.94130844,-0.88106805,-1.5216676,-1.1146814,-0.88106805,-0.94130844,0.022548497,-1.0936251743544168,0.33317453
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.97411823,-0.82426524,-1.331086,-1.0431565,-0.82426524,-0.97411823,0.07721323,-1.0323276403049129,0.40891284
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-1.241229,-1.0105016,-1.1027514,-1.1181607,-1.0105016,-1.1027514,-0.015091717,-1.115880633318933,0.29412758
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-0.7482289,-0.24432185,0.7607618,-0.077262975,0.7607618,-0.24432185,1.2226999,-0.07744143617000987,1.980829
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-1.2795936,-0.07271829,-0.62270206,-0.658338,-0.07271829,-0.62270206,0.55647135,-0.6210691830850477,1.0260406
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-1.6073921,-0.13362777,-1.1081977,-0.94973916,-0.13362777,-1.1081977,0.340378,-0.8763554870009511,0.6900085
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-1.5303457,-0.10284901,-1.1755724,-0.9362557,-0.10284901,-1.1755724,0.35583094,-0.8662545583020378,0.7071664
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-1.3296673,-0.23194012,-1.1380408,-0.8998828,-0.23194012,-1.1380408,0.3206369,-0.8565719637281777,0.6901044
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-1.4711688,-0.41628072,-1.1324394,-1.0066296,-0.41628072,-1.1324394,0.19177529,-0.964585109808108,0.529562
/Users/stefanobonetto/Documents/GitHub/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,-1.2611668,0.04054159,-1.0852265,-0.7686172,0.04054159,-1.0852265,0.5083364,-0.7181139203013885,0.91819257
