filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,1.1905597,0.5845746,-0.6750809,0.36668447,1.1905597,0.5845746,1.7213843,0.33142824409742144,2.8382347
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,0.65921783,0.95340717,-2.4988873,-0.29542077,0.95340717,0.65921783,1.5282257,-0.05758818010376643,2.3427885
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,0.651595,1.1754558,-4.14168,-0.771543,1.1754558,0.651595,1.643668,-0.08385315012119776,2.448454
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,0.47942722,1.1271639,-3.7052171,-0.69954205,1.1271639,0.47942722,1.5532131,-0.13764055266029063,2.297642
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,0.40779316,1.1243005,-3.728823,-0.73224306,1.1243005,0.40779316,1.5272686,-0.16195071137894135,2.2465074
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,0.058504462,0.87939477,-3.278693,-0.78026456,0.87939477,0.058504462,1.2548659,-0.3260197110680121,1.8387954
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,0.39336562,1.3140326,-3.3344054,-0.54233575,1.3140326,0.39336562,1.6560819,-0.10718328960222467,2.4101179
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,0.5148741,1.0486447,-3.0267575,-0.48774624,1.0486447,0.5148741,1.5207555,-0.11653913331178156,2.2826076
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,0.75121725,1.3049141,-2.9342947,-0.29272112,1.3049141,0.75121725,1.7681699,0.02211932443888498,2.667234
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,0.4052862,0.79031146,-2.5541093,-0.45283723,0.79031146,0.4052862,1.3301408,-0.18720328003662523,2.0323715
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,0.03346765,1.0972139,-2.2161796,-0.3618327,1.0972139,0.03346765,1.420422,-0.19204036411394843,2.081155
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.050376773,1.2467597,-2.2457204,-0.34977916,1.2467597,-0.050376773,1.5119956,-0.1873916270131274,2.1590595
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,0.6733545,0.5922159,-0.7768142,0.16291873,0.6733545,0.5922159,1.441886,0.16186452718158284,2.4102921
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.09840989,0.6678084,-2.9252055,-0.78526896,0.6678084,-0.09840989,1.0681154,-0.42306445193858255,1.5943565
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,0.32245016,1.107235,-3.4002116,-0.6568422,1.107235,0.32245016,1.4906211,-0.18207001559890823,2.1864612
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,0.06870699,0.9880953,-3.2381344,-0.7271107,0.9880953,0.06870699,1.3340724,-0.29050992018853805,1.9364285
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,0.2816025,1.1930641,-3.1719372,-0.56575686,1.1930641,0.2816025,1.5399469,-0.16374721056344932,2.241867
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,0.3251933,1.0739921,-2.7432535,-0.4480227,1.0739921,0.3251933,1.4760665,-0.15173906835433926,2.1934242
