filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.63376355,0.521024,0.15004016,0.43494257,0.63376355,0.521024,1.5539932,0.4307655927009725,2.7560039
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,0.33348382,1.8251028,-1.2113906,0.31573197,1.8251028,0.33348382,2.0664878,0.23202090520097007,3.063266
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,0.42729068,1.8365085,-1.9094801,0.118106365,1.8365085,0.42729068,2.0739071,0.12924770132554653,3.0035708
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,0.4691161,1.9656956,-1.9285635,0.16874938,1.9656956,0.4691161,2.184231,0.15931246174000124,3.1453037
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,0.12630975,1.6625061,-1.1991049,0.19657032,1.6625061,0.12630975,1.903391,0.13854675339316658,2.798863
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,0.1593864,1.6715081,-1.1754365,0.218486,1.6715081,0.1593864,1.9171667,0.15687144398851627,2.8315313
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,0.17254555,1.7788064,-1.0588622,0.2974966,1.7788064,0.17254555,2.0092819,0.20889790054452628,2.965471
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,0.15935886,1.8543584,-0.9213667,0.36411682,1.8543584,0.15935886,2.0742195,0.25344565145439657,3.0652373
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,0.41451776,2.0667925,-0.8314223,0.5499627,2.0667925,0.41451776,2.2873206,0.39595835078278396,3.4375474
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,0.42521226,2.1942322,-0.32106838,0.7661254,2.1942322,0.42521226,2.418446,0.5824251012792181,3.750283
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,0.4152645,2.0373025,-0.2750412,0.725842,2.0373025,0.4152645,2.29699,0.5734514192336082,3.6206784
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,0.340989,1.8352659,-0.48883137,0.5624744,1.8352659,0.340989,2.1146255,0.44309313028227615,3.3036404
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,0.8802091,2.1291075,0.64105916,1.2167919,2.1291075,0.8802091,2.5429597,1.1085185083357205,4.521998
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,0.1063019,1.8389821,-0.697072,0.41607067,1.8389821,0.1063019,2.0669048,0.29797251694524063,3.09407
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,0.21029496,2.1650949,-0.8284251,0.51565486,2.1650949,0.21029496,2.3404787,0.3411780740838798,3.4073088
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,0.045431137,1.7907264,-0.68643975,0.38323927,1.7907264,0.045431137,2.020706,0.27260600758153897,3.0212624
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,0.058635294,1.8451216,-0.46741113,0.4787819,1.8451216,0.058635294,2.0814247,0.35492896457143774,3.159657
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,0.07074368,1.8337193,-0.20135309,0.5677033,1.8337193,0.07074368,2.097778,0.4469113099613491,3.2714062
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-0.29095238,1.306981,-0.36678872,0.2164133,1.306981,-0.29095238,1.636179,0.1658396553965562,2.5564742
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,0.013976216,1.9063799,-0.36009923,0.52008563,1.9063799,0.013976216,2.133026,0.38473160303648923,3.235741
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-0.48918596,1.2114881,-0.464437,0.08595506,1.2114881,-0.464437,1.5260766,0.04878484562027896,2.3465576
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,0.04079008,1.5886697,-0.12640148,0.5010194,1.5886697,0.04079008,1.9198776,0.4180734183891025,3.0750215
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,0.10250652,1.9376347,-0.10991235,0.64340955,1.9376347,0.10250652,2.1912253,0.5069106136193642,3.4256063
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,-0.053158343,1.5288345,-0.05530343,0.47345755,1.5288345,-0.053158343,1.8729131,0.3981465586966614,3.0097194
