filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.22825098,-0.3746042,0.84544766,0.080864154,0.84544766,-0.22825098,1.3382866,0.06699036964518401,2.2071056
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-0.54789007,-0.3732387,0.19438031,-0.24224949,0.19438031,-0.3732387,0.9087533,-0.2377058303117736,1.5894839
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-0.7131239,-0.3310906,-1.1701043,-0.73810625,-0.3310906,-0.7131239,0.41777924,-0.7176676009102507,0.8564318
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-0.7527261,-0.22232822,-1.5613338,-0.8454626,-0.22232822,-0.7527261,0.3931152,-0.7871720078775317,0.7906339
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-1.0273099,-0.2255587,-1.218033,-0.82363385,-0.2255587,-1.0273099,0.3728388,-0.7911940412999848,0.77196425
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-1.1241894,-0.24061799,-1.8891219,-1.084643,-0.24061799,-1.1241894,0.23290545,-0.983297882754445,0.5448277
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-1.1464553,-0.3324659,-2.088987,-1.1893028,-0.3324659,-1.1464553,0.14732176,-1.0652021597093277,0.43370283
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-1.0395782,-0.032056183,-2.6559157,-1.2425166,-0.032056183,-1.0395782,0.33095023,-0.9797177884905381,0.6160741
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-0.9468623,-0.19885182,-2.3935754,-1.1797632,-0.19885182,-0.9468623,0.26154113,-0.9884913416467301,0.56316423
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.9083416,-0.15265718,-2.7424374,-1.2678121,-0.15265718,-0.9083416,0.2821892,-0.9950214754569869,0.57419366
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-0.9952477,-0.1289289,-2.7367363,-1.286971,-0.1289289,-0.9952477,0.27265707,-1.0141091935680644,0.5540627
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-0.9812761,-0.019667506,-2.7096887,-1.2368774,-0.019667506,-0.9812761,0.35200435,-0.9608468120462983,0.64401925
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-0.39593166,0.028057963,0.037722398,-0.11005043,0.037722398,0.028057963,1.0079399,-0.10846117157172608,1.7779797
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-1.0049311,0.26072165,-1.7415646,-0.82859135,0.26072165,-1.0049311,0.609321,-0.7204207400439107,0.9892256
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-1.0208697,-0.12777153,-2.4668424,-1.2051612,-0.12777153,-1.0208697,0.28155455,-0.9926379223427358,0.57346517
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-1.1158165,-0.20423752,-2.2564971,-1.1921837,-0.20423752,-1.1158165,0.22124809,-1.0275193175470503,0.5082673
