filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-1.1664543,-2.2143114,-6.8698063,-3.4168575,-1.1664543,-2.2143114,-0.863374,-2.0671032328381784,-0.7847573
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-1.3415678,-1.8517776,-12.012508,-5.068618,-1.3415678,-1.8517776,-0.8713186,-2.047476769474006,-0.77775425
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-1.6339166,-2.1202948,-14.829055,-6.1944222,-1.6339166,-2.1202948,-1.1546738,-2.31186669683943,-1.082997
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-1.5379174,-2.2393312,-13.427423,-5.7348905,-1.5379174,-2.2393312,-1.1351956,-2.301028514990735,-1.0664009
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-1.7069974,-2.2608144,-13.472837,-5.8135495,-1.7069974,-2.2608144,-1.2528948,-2.4067611809705767,-1.1887826
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-1.3406547,-2.079265,-13.164454,-5.5281243,-1.3406547,-2.079265,-0.9501106,-2.1303936998612047,-0.8688965
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-1.3179085,-1.7946813,-12.616445,-5.2430115,-1.3179085,-1.7946813,-0.83499116,-2.012566306740313,-0.73738027
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-1.1219443,-1.8189894,-12.272645,-5.071193,-1.1219443,-1.8189894,-0.7177671,-1.9151484880189331,-0.6149663
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-1.2558702,-1.6598704,-11.966819,-4.960853,-1.2558702,-1.6598704,-0.74444497,-1.9263321936769604,-0.6364548
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-0.9652432,-1.3402895,-11.405157,-4.57023,-0.9652432,-1.3402895,-0.44212145,-1.6500582113319628,-0.2978866
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-1.2313235,-1.9015154,-10.798567,-4.643802,-1.2313235,-1.9015154,-0.81810164,-2.0054128370177216,-0.7238697
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-1.585157,-2.4286497,-10.447302,-4.8203697,-1.585157,-2.4286497,-1.22724,-2.393064246226465,-1.1674031
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-1.2893159,-1.872437,-8.78981,-3.9838543,-1.2893159,-1.872437,-0.8454597,-2.0263858291182144,-0.75123584
