filename,prediction_clipdet_latent10k,prediction_clipdet_latent10k_plus,prediction_Corvi2023,prediction_fusion[mean_logit],prediction_fusion[max_logit],prediction_fusion[median_logit],prediction_fusion[lse_logit],prediction_fusion[mean_prob],prediction_fusion[soft_or_prob],prediction_OF
Dolphin_CogVideoX,0.5,0.875,0.84375,0.84375,0.90625,0.8125,1.0,0.84375,1.0,0.2933777592044813
Thunder_CogVideoX,0.28125,0.375,0.0,0.09375,0.4375,0.21875,1.0,0.09375,1.0,0.2937583251937707
RoadFullOfCars_CogVideoX,0.15625,0.9375,0.0625,0.59375,0.9375,0.21875,1.0,0.59375,1.0,5.357243888762858e-05
PolarBear_CogVideoX,0.0625,0.9375,0.0,0.03125,0.9375,0.0625,1.0,0.03125,1.0,0.0004703776230437
Pilot_CogVideoX,0.0625,0.65625,0.0,0.0,0.65625,0.0625,1.0,0.0,1.0,0.0019745663113834
Rocket_CogVideoX,0.0625,0.15625,0.28125,0.0625,0.4375,0.0625,1.0,0.0625,1.0,0.1699864794375446
Drone_CogVideoX,0.40625,1.0,0.125,0.46875,1.0,0.4375,1.0,0.5,1.0,0.0003283129139668
Cow_CogVideoX,0.21875,0.75,0.0625,0.21875,0.84375,0.1875,1.0,0.1875,1.0,0.1533621383221061
Horse_CogVideoX,0.65625,0.9375,0.4375,0.875,0.96875,0.6875,1.0,0.875,1.0,0.1897959368326237
Farmer_CogVideoX,0.0625,0.9375,0.0,0.03125,0.9375,0.0625,1.0,0.03125,1.0,0.032207861989019
Purse_CogVideoX,0.21875,0.625,0.0625,0.1875,0.6875,0.21875,1.0,0.15625,1.0,0.1625531620586277
Chef_CogVideoX,0.625,0.53125,0.09375,0.21875,0.8125,0.4375,1.0,0.21875,1.0,0.0530426246507182
Ball_CogVideoX,0.0,0.125,0.0,0.0,0.125,0.0,0.96875,0.0,1.0,0.0710922617489759
Doctor_CogVideoX,0.0,0.53125,0.0625,0.03125,0.53125,0.0625,0.90625,0.03125,0.96875,0.2000429868577141
Car_CogVideoX,0.4375,0.5625,0.1875,0.4375,0.65625,0.4375,0.96875,0.4375,1.0,0.181782419875249
Sofa_CogVideoX,0.03125,0.28125,0.03125,0.0,0.3125,0.03125,0.96875,0.0,1.0,0.0061780934243333
Bike_CogVideoX,0.59375,0.75,0.15625,0.59375,0.75,0.625,1.0,0.59375,1.0,0.3212464956978779
River_CogVideoX,0.46875,1.0,0.0625,0.1875,1.0,0.46875,1.0,0.25,1.0,0.0299707439425973
Airplane_CogVideoX,0.1875,0.9375,0.0,0.3125,0.96875,0.15625,1.0,0.3125,1.0,0.2054888998924309
TaxiDriver_CogVideoX,0.0,0.03125,0.0625,0.0,0.0625,0.03125,0.90625,0.0,0.9375,0.0571967945975854
Dancer_CogVideoX,0.84375,1.0,0.375,0.96875,1.0,0.9375,1.0,0.96875,1.0,0.13432311535102
Crocodile_CogVideoX,0.5,0.90625,1.0,0.96875,1.0,0.9375,1.0,0.96875,1.0,0.0342212130873348
Tractor_CogVideoX,0.3125,0.875,0.0,0.0625,0.9375,0.25,1.0,0.0625,1.0,0.0311066175441329
TV_CogVideoX,1.0,1.0,0.78125,1.0,1.0,1.0,1.0,1.0,1.0,0.001165678198936
Shore_CogVideoX,0.0,0.125,0.0,0.0,0.125,0.0,0.9375,0.0,0.96875,0.1942775779783137
Mouse_CogVideoX,0.625,1.0,0.34375,0.625,1.0,0.78125,1.0,0.625,1.0,0.0424563810418383
Tiger_CogVideoX,0.90625,0.90625,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,0.0811374621492941
Butterfly_CogVideoX,0.78125,0.90625,0.15625,0.5625,0.9375,0.8125,1.0,0.625,1.0,0.2844843110219845
Soldier_CogVideoX,0.09375,0.84375,0.0,0.0,0.84375,0.09375,1.0,0.0,1.0,0.0053769173474363
Skier_CogVideoX,0.125,0.09375,0.0,0.0,0.1875,0.03125,0.9375,0.0,1.0,0.0756182150303224
