filename,prediction_clipdet_latent10k,prediction_clipdet_latent10k_plus,prediction_Corvi2023,prediction_fusion[mean_logit],prediction_fusion[max_logit],prediction_fusion[median_logit],prediction_fusion[lse_logit],prediction_fusion[mean_prob],prediction_fusion[soft_or_prob],prediction_OF
Airplane_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.4065040650406504,0.0,0.7886178861788617,0.0154489035098675
Thunder_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333,0.0,0.1166666666666666,0.0140018925603355
Shore_Real,0.0733333333333333,0.6266666666666667,0.0,0.0,0.6666666666666666,0.0333333333333333,0.9866666666666668,0.0,1.0,0.0009080966236107
PolarBear_Real,0.0968992248062015,0.5465116279069767,0.0,0.0310077519379844,0.6162790697674418,0.0271317829457364,0.9883720930232558,0.0310077519379844,1.0,0.0300273965758858
Mouse_Real,0.032,0.008,0.0,0.0,0.04,0.0,0.312,0.0,0.568,0.0001050504966847
Tractor_Real,0.008,0.0,0.0,0.0,0.008,0.0,0.024,0.0,0.056,0.0017416009773738
River_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0579710144927536,0.0,0.108695652173913,6.916135250204941e-06
Car_Real,0.0151515151515151,0.1969696969696969,0.0,0.0,0.1969696969696969,0.0151515151515151,0.6212121212121212,0.0,0.7803030303030303,0.005058066352119
Sofa_Real,0.8130081300813008,1.0,0.0,0.065040650406504,1.0,0.8130081300813008,1.0,0.1951219512195122,1.0,0.1223918755081442
Skier_Real,0.008,0.008,0.0,0.0,0.008,0.008,0.144,0.0,0.2,0.0072230250208596
Crocodile_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315134548411352
Bike_Real,0.0,0.1212121212121212,0.0,0.0,0.1212121212121212,0.0,0.4545454545454545,0.0,0.6666666666666666,0.1048553548301666
Chef_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156176474042613
TaxiDriver_Real,0.0,0.0068027210884353,0.0,0.0,0.0068027210884353,0.0,0.0408163265306122,0.0,0.0680272108843537,0.0346028333326693
Dolphin_Real,0.0,0.1157024793388429,0.0,0.0,0.1157024793388429,0.0,0.3140495867768595,0.0,0.4628099173553719,0.0252363379741424
Doctor_Real,0.0066666666666666,0.8066666666666666,0.0,0.0133333333333333,0.8066666666666666,0.0066666666666666,1.0,0.0133333333333333,1.0,0.0906525544722303
Cow_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.0,0.536,6.278210371851005e-05
Dancer_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.6639344262295082,0.0,1.0,0.0031179941389564
Purse_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0659340659340659,0.0,0.2747252747252747,0.0256663575010251
RoadFullOfCars_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5718649928822918e-06
Farmer_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6120743208143769e-06
Drone_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.408,0.0022255877636598
Horse_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0066666666666666,0.0,0.0333333333333333,0.002492804346222
Pilot_Real,0.0,0.2741935483870967,0.0,0.0,0.2741935483870967,0.0,0.3709677419354839,0.0,0.3790322580645161,4.356490976523371e-05
TV_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.2177419354838709,0.0,0.5241935483870968,0.0601613671842007
Butterfly_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.184,0.0239254416917586
Soldier_Real,0.0,0.3537414965986394,0.0,0.0,0.3537414965986394,0.0,0.9047619047619048,0.0,0.9931972789115646,0.0098453914711212
Rocket_Real,0.0165289256198347,0.0909090909090909,0.0,0.0,0.0991735537190082,0.0082644628099173,0.6611570247933884,0.0,0.8181818181818182,4.0794729763763615e-05
Tiger_Real,0.1,0.6166666666666667,0.0,0.0,0.6166666666666667,0.1,0.95,0.0,0.9916666666666668,3.383202132260736e-05
